Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Netts,Rank
GBR,9088,Andy Smith,Tim Needham,Notts County SC,1,1,1,1,1,1,5,1
GBR,9104,Mike Sims,Adam Kenney,Burton SC / Carsington SC,2,3,2,2,2,2,10,2
GBR,9032,Jim Blyth,Danny Rod,Largo Bay SC,3,4,3,3,3,3,15,3
GBR,8905,Stuart Turnbull,Andy George,Burton SC,4,2,4,4,4,4,18,4
