Nation,Sail No,Helm,Crew,R1,R2,R3,R4,R5,R6,R7,R8,Tally,Pts,Pos
GBR,8881,Terry Scutcher,Christian Diebitsch,1,5,2,2,2,4,1,10,19,12,1st
GBR,8555,Charlie Walters,Dougal Cram,3,1,3,4,1,5,2,2,23,12,2nd
GBR,8378,Martin Hodgeson,Adrian Miles,DNF,3,5,1,4,3,6,3,17,19,3rd
GBR,8419,Stuart Turnball,Jason Lunn,2,2,6,6,9,6,5,4,11,25,4th
GBR,8834,Russell Short,Andrew Short,DNF,7,1,3,12,2,11,5,24,29,5th
GBR,8773,Norman Byrd,Alex Davies,5,6,10,7,3,7,8,1,6,29,6th
GBR,8774,John Webster,Robert Buidenkin,9,11,9,9,5,1,14,6,1,39,7th
GBR,8852,Richard Lord,Alex Cull,DNF,10,7,5,7,11,4,11,25,44,8th
GBR,8752,Chris Dando,Daniel Martin,DNF,14,13,11,6,10,3,7,10,50,9th
GBR,8685,Richard Sims,Simon Wood,6,4,8,8,13,12,12,15,18,50,10th
GBR,8701,Rob Naiper,Neville Herbert,4,17,16,13,10,8,13,8,14,56,11th
GBR,8741,Toby Dale,James Cole,DNF,9,4,12,15,17,10,16,21,66,12th
GBR,8514,Ben Jones,David Thorpe,7,18,11,16,22,15,7,18,13,74,13th
GBR,8885,Ben Illiffe,Simon Lake,DNF,8,15,10,14,20,9,DNF,22,76,14th
GBR,8206,Paul Davies,John Davies,DNF,13,17,17,11,9,15,13,15,78,15th
GBR,8650,Terry Selfe,Alan Montague,DNF,12,14,14,16,14,16,12,16,82,16th
GBR,8474,Chris Thorne,Mike Priddle,DNF,15,12,15,18,16,18,9,9,85,17th
GBR,8323,Harry Briddon,Simon Briddon,DNF,16,DNF,19,8,13,17,14,12,87,18th
GBR,8583,Patrick Moore,Paul Bainbridge,8,19,DNF,18,19,DNC,20,19,5,103,19th
GBR,8678,Jim Berry,Richard Berry,DNF,20,18,DNF,20,19,19,17,2,113,20th
GBR,7546,Laurence Milton,Charles Milton,DNF,22,21,20,17,21,22,DNF,7,123,21st
GBR,8884,Tom Clayton,Ross Davies,DNS,21,22,22,DNS,18,21,20,20,124,22nd
IRL,8429,Alistair Ramsden,Fenton Parsons,DNF,23,20,DNF,21,22,23,21,4,130,23rd
GBR,8532,Greg Brown,Mary Brown,DNF,24,19,21,DNC,DNC,DNC,DNC,8,142,24th
GBR,8780,Jack Hoyhurst,Adrian Coats,DNF,DNC,DNC,DNC,DNC,DNC,DNC,DNC,3,156,25th
