Sail,No,Helm,Crew,Club,R1,R2,R3,R4,R5,Nett,Rank
GBR,8882,Ian Pinnell,Steve Hunt,HISC,DNF*,1,1,1,1,4,1
GBR,8773,Norman Byrd,Alex Davies, ,1,DNF*,3,2,2,8,2
GBR,8555,Charles Walters,Andy Rice,Datchet,2,2,7,5,3,12,3
GBR,8834,Russ Shot,Andy Short,Rotherham,DNF*,3,4,3,4,14,4
GBR,8701,Rob Napier,Carl Gibbons,Bowmoor,3,4,5,6*,5,17,5
GBR,8752,Christopher Davies,Donald Sloan,Stone,4,7*,6,4,7,21,6
GBR,8678,Jim Berry,Richard Berry,Poltished,6,5,12,8,DNC*,31,7
GBR,8514,Ben Jones,David Thorpe,Tenby SC,DNC*,6,9,10,6,31,8
FRA,8748,Carvallo Gilles,Carvalleo Samuel,CNHS,DNF*,8,11,11,8,38,9
GBR,8835,Simon Lake,Ben Iliffe,HISC,DNF*,DNF,8,7,DNC,43,10
GBR,8881,Terry Scutcher,Christian Diebitsch,Shotley,DNF*,DNF,2,DNC,DNC,44,11
GBR,8852,Tom Clayton,Alex Crew,Oxford,5,DNC*,DNC,DNC,DNC,47,12
GBR,8708,Martin Wedge,Barns Barns,Tewkbury,DNF*,DSQ,10,9,DNC,47,13
