Nr,,Załoga,,Klub,R1,R2,R3,R4,R5,R6,R7,Pkt,M
POL,9119,Mateusz Jura,Bartosz Chroł,Polskie Stowarzyszenie Klasy 505,1,1,1,2,3,5*,4,12,1
POL,9233,Tomasz Brzozowski,Pawel Choroba,KŻ Horn Kraków,2,2,8*,5,2,7,1,19,2
POL,8875,Dariusz Konopczak,Pawel Henszke,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,3,4,5*,4,5,3,3,22,3
POL,9170,Karol Milewski,Bartosz Milewski,YK STAL GDYNIA,7,3,2,12,DSQ*,4,5,33,4
POL,8665,Marcin Panek,Jakub Grabowski,Polskie Stowarzyszenie Klasy 505/JK KRYNICA MORSKA,10,7,6,1,8,12*,7,39,5
POL,8747,Anna Jabłońska,Andrzej Zdrojek,UnS,8,10,3,3,13*,9,11,44,6
POL,9132,Przemek Zagórski,Michał Olko,YK STAL GDYNIA,4,13,4,10,4,10,UFD*,45,7
POL,9149,Szymon Szymik,Adam Kominek,SEJK Pogoń Szczecin,9,9,7,6,6,8,10*,45,8
POL,8802,Dominik Ostrowski,Stefan Romanik,SWOS Warszawa/KLUB SPORTOWY SPÓJNIA-WARSZAWA,13,DNF*,11,9,7,2,6,48,9
POL,9043,Mariusz Świstelnicki,Lesław Świstelnicki,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,11,12,RET*,DNF,1,1,2,51,10
POL,8736,Adam Kuczyński,Andrzej Borowiak,ZKŻ Zbąszyń/ŻMKS Poznań,6,6,12,DNF*,9,13,8,54,11
POL,8493,Mieczysław Szwed,Tomasz Idzikowski,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,5,5,9,8,17*,16,16,59,12
POL,8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA/Polskie Stowarzyszenie Klasy 505,12,11,10,7,15*,15,13,68,13
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,YK STAL GDYNIA,16*,16,13,11,12,14,14,80,14
POL,8437,Szymon Kabała,Władysław Kondej,OŚ AZS POZNAŃ,DNF*,15,DNF,DNF,11,6,12,92,15
POL,8769,Jędrzej Charłampowicz,Bartosz Sadowski,Yacht Club Rewa,RET*,14,DNF,DNF,10,11,9,92,16
POL,8145,Mateusz Byrski,Aleksandra Gill,UKS NAVIGO Sopot,17,18,14,RET*,16,18,17,100,17
POL,8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,14,17,DNF*,DNF,14,17,15,101,18
POL,8812,Sławomir Plichta,Paweł Prus,YK STAL GDYNIA,15,8,DNF*,DNF,DNF,DNF,DNF,119,19
POL,8212,Jacek Terpiłowski,Adam Szwajkajzer,,RET*,DNS,DNS,DNS,18,19,18,127,20
POL,7820,Marcin O. Pietrzak,Marcin Pietrzak,"SAILING LEGIA - LEGIA WARSZAWA/MKS ""Dwójka"" Warszawa",DNS,DNS,DNS,DNS,19,20,RET,135,21
POL,8359,Zbisław Lasek,Jakub Meduna,,DNF*,DNS,DNS,DNS,20,DNF,DNF,140,22
POL,8770,Jakub Gąsiorowski,Karolina Gąsiorowska,Yacht Klub Stal Gdynia,DNS,DNS,DNS,DNS,DNS,DNS,DNS,144,23
