Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Real points,Points,Place
USA,6292,Steve Taylor,David Penfield,,1,1,3,DNF,"5,7",6,1
USA,6659,Dennis Surtees,Paul Cayard,,8,2,13,1,17,17,2
USA,6494,Danny Thompson,,,3,33,10,2,"24,7",25,3
DEN,6343,Jorgen Schonherr,,,2,4,8,10,25,25,4
AUS,6756,Geoff Kyrwood,,,14,7,2,6,"27,7",28,5
AUS,6707,Roger Down,,,6,10,19,3,"33,4",33,6
GBR,6594,Phil Milanes,,,7,5,6,7,"34,7",35,7
GBR,6723,Mike Lingwood,,,10,6,5,DNF,"37,7",38,8
GBR,6128,Mike Platts,,,12,21,7,4,39,39,9
USA,6493,Jon Andron,,,11,16,1,DNF,39,39,9
,,,,,,,,,,,11
,,,,,,,,,,,12
,,,,,,,,,,,13
,,,,,,,,,,,14
,,,,,,,,,,,15
RSA,6691,Brian Downham,,Loch Vaal Club,17,12,18,DNF,65,65,16
,,,,,,,,,,,17
,,,,,,,,,,,18
,,,,,,,,,,,19
,,,,,,,,,,,20
,,,,,,,,,,,21
,,,,,,,,,,,22
,,,,,,,,,,,23
,,,,,,,,,,,24
,,,,,,,,,,,25
,,,,,,,,,,,26
,,,,,,,,,,,27
,,,,,,,,,,,28
,,,,,,,,,,,29
,,,,,,,,,,,30
,,,,,,,,,,,31
,,,,,,,,,,,32
RSA,5556,J. Lindemann,,,27,36,29,DNF,110,110,33
RSA,5551,Richard Parker,,Victoria Lake Club,37,28,30,DNS,113,113,34
,,,,,,,,,,,35
,,,,,,,,,,,36
,,,,,,,,,,,37
RSA,5625,Rob Wilcox,,,DNF,31,36,34,119,119,38
,,,,,,,,,,,39
,,,,,,,,,,,40
,,,,,,,,,,,41
RSA,6602,Alec Lanham-Love,,,29,13,DNF,DSQ,133,133,42
RSA,3772,H. Ellens,,,59,45,39,32,134,134,43
,,,,,,,,,,,44
,,,,,,,,,,,45
,,,,,,,,,,,46
RSA,6266,Robbie van Rooyen,,,21,29,DNF,DNF,139,139,47
,,,,,,,,,,,48
,,,,,,,,,,,49
,,,,,,,,,,,50
,,,,,,,,,,,51
,,,,,,,,,,,52
RSA,5888,E. Sternhagel,,,DNF,59,44,31,152,152,53
,,,,,,,,,,,54
,,,,,,,,,,,55
RSA,6400,Rg. Crisp,,,62,61,51,37,"167,0",167,56
,,,,,,,,,,,57
RSA,5183,T. Clarence,,,50,49,52,DNC,169,169,58
RSA,6644,P. Hishin,,,44,38,DNC,DNF,171,171,59
,,,,,,,,,,,60
,,,,,,,,,,,61
,,,,,,,,,,,62
,,,,,,,,,,,63
RSA,4454,B. Dutton,,,64,53,49,DNC,184,184,64
RSA,5891,Z. Rogotzki,,,69,65,64,40,187,187,65
RSA,5892,G. Williams,,,55,47,DNF,DNF,191,191,66
,,,,,,,,,,,67
,,,,,,,,,,,68
,,,,,,,,,,,69
,,,,,,,,,,,70
,,,,,,,,,,,71
RSA,6714,G. Meek,,,DNF,41,55,DNC,199,199,72
,,,,,,,,,,,73
,,,,,,,,,,,74
,,,,,,,,,,,75
RSA,5554,G. Calderwood,,,DNF,51,53,DNC,207,207,76
,,,,,,,,,,,77
RSA,4699,S. Minter,,,70,63,DNF,DNF,222,222,78
RSA,6712,Leo Ehlers Jnr,,,71,62,DNC,DNF,222,222,79
,,,,,,,,,,,80
RSA,5889,E. Wyatt,,,DNF,58,62,DNF,223,223,81
,,,,,,,,,,,82
RSA,4504,C. Dos Santos,,,72,DNS,DNC,DNF,243,243,83
,,,,,,,,,,,84
,,,,,,,,,,,85
