Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,6963,Serge Gubri,Jean-Pierre de Beaumont,,,,,,,,,,1
FRA,,Alain Doloy,Polet,,,,,,,,,,2
FRA,,Christian Lippi,Dufourcq,,,,,,,,,,3
FRA,,Gérard Derché,Alain Derché,,,,,,,,,,4
FRA,6589,Marcel Buffet,Margot,,,,,,,,,,5
FRA,,Alain Boite,Hubier,,,,,,,,,,6
FRA,,Alain Preel,Chevalier,,,,,,,,,,7
FRA,,Gerard,Pascal,,,,,,,,,,8
FRA,7261,Michel Tricard,Serge Piazza,,,,,,,,,,9
FRA,,Polet,Lafolie,,,,,,,,,,10
FRA,,Legond,Legond,,,,,,,,,,11
FRA,,Geliot,Pelca,,,,,,,,,,12
FRA,,Pascal,Ledoux,,,,,,,,,,13
FRA,,Dewagenaere,Dewagenaere,,,,,,,,,,14
FRA,,Boichou,Boichou,,,,,,,,,,15
FRA,,Gerard Toupet,Fabrice Toupet,,,,,,,,,,16
