Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
FRA,,Philippe Lécrit,Philippe Sérane,,,,,,,,,1
FRA,6572,Francis Doerenbecher,Gay Bottlaender,,,,,,,,,2
FRA,,Sylvan Pellissier,Grenier,,,,,,,,,3
FRA,7261,Michel Tricard,Serge Piazza,,,,,,,,,4
FRA,,Gilbert Vinches,Rouger,,,,,,,,,5
FRA,,Paquotie,Quthmann,,,,,,,,,6
FRA,,Marcel Buffet,Vanier,,,,,,,,,7
FRA,,Ehrhardt,Weber,,,,,,,,,8
FRA,,Pfaadt,Angthelm,,,,,,,,,9
SUI,,Sturmer,Siurmtr,,,,,,,,,10
GER,6930,Brigitte Preuß,Rolf Bertenrath,,,,,,,,,11
FRA,,Philippe Blanchard,Blanchard,,,,,,,,,12
FRA,,Philippides,Lassfrre,,,,,,,,,13
FRA,,Guy de Restrepo,Le Corre,,,,,,,,,14
GER,,Ralf-Joachim Stoll,Martin Eckel,,,,,,,,,15
FRA,,Brengard,Sturchler,,,,,,,,,16
GER,,Zettel,Zecher,,,,,,,,,17
FRA,,Schirrer,Quitzwiller,,,,,,,,,18
FRA,,Pagliano,Krauth,,,,,s,,,,19
FRA,,Gre,Laugeronite,,,,,,,,,20
GER,,Quellmaltz,Hauser,,,,,,,,,21
FRA,,Metzger,Plessy,,,,,,,,,22
FRA,,Degreve,Vitelli,,,,,,,,,23
FRA,,Lehmann,Volklhmann,,,,,,,,,24
FRA,,Schweblen,Mauzac,,,,,,,,,25
FRA,,Gillet,Gillet,,,,,,,,,26
GER,,Winter,Crux,,,,,,,,,27
FRA,,Casanova,Kleimberg,,,,,,,,,28
FRA,,Liqifre,Perrin,,,,,,,,,29
