Country,Number,Helm,Crew,Club,Race 1,Total,Place
FRA,,Jérôme Langlois,Philippe Sérane,,,,1
FRA,,Laurent,Claude,,,,2
USA,,Tony Wattson,Phil Ramming,,,,3
FRA,,Jean-François Fountaine,Pierre Fountaine,,,,4
FRA,,Serge Gubri,Jean-Pierre de Beaumont,,,,5
FRA,,Michel Christ,Jacques Chouraki,,,,6
GBR,,White,Willmot,,,,7
FRA,,Follenfant,Massu,,,,8
FRA,6572,Francis Doerenbecher,Gay Bottlaender,,,,9
MAR,6448,Georges Le Troquer,E. Devaux,,,,10
FRA,,Delage,Champy,,,,11
FRA,,Sylvan Pellissier,Grenier,,,,12
FRA,,Cordonier,Cordonier,,,,13
FRA,,Gilbert Vinches,Vanier,,,,14
FRA,,Tristant,Tristan,,,,15
FRA,6620,François Fischer,Phillips Claudel,,,,16
FRA,7122,Bernard Oudard,Denis Oudard,,,,17
FRA,6913,Yves Pottier,Jean Nadaud,,,,18
FRA,6279,Alain Doloy,Polet,,,,19
FRA,,Bernard Moret,Lafolie,,,,20
FRA,,Christian Lippi,Dufourq,,,,21
FRA,7261,Michel Tricard,Serge Piazza,,,,22
FRA,,Paquette,Guthmann,,,,23
FRA,6126,Francois Cuny,Eric Cuny,,,,24
GBR,,Graham,Graham,,,,25
FRA,,Marchal,Deroche,,,,26
FRA,,De Cayeux,Brezot,,,,27
FRA,,Gérard Derché,Alain Derché,,,,28
FRA,,Jacques Raguet,Samuel Thomas,,,,29
FRA,,Bruno Lévesque,Lepage,,,,30
FRA,,Ehrhardt,Ehrhardt,,,,31
FRA,,Gourmelein,Koch,,,,32
FRA,,Guy de Restrepo,Le Corre,,,,33
FRA,,Wattinne,Solatges,,,,34
FRA,,Dupaquier,Wantz,,,,35
FRA,,Van Den Brok,Demenais,,,,36
FRA,6340,Bernard Peiffert,Didier Peiffert,,,,37
FRA,,Philippides,Schirrer,,,,38
FRA,,Christian Mautin,Marquoin,,,,39
FRA,5885,Christian Silvestre,Anne Delagrave,,,,40
FRA,,Colin,Colin,,,,41
FRA,,Berthier,Demesmay,,,,42
FRA,,Gerard Toupet,Fabrice Toupet,,,,43
FRA,,Alain Boite,Maubert,,,,44
FRA,6179,Marc Conan,Eric Conan,,,,45
FRA,,Girardin,Chauvet,,,,46
FRA,,Weber,Weber,,,,47
FRA,,Gre,Carvallo,,,,48
FRA,,Hamet,Hamet,,,,49
IRL,6604,Denis O’Sullivan,Wansbrough,,,,50
FRA,,Peuch,Peuch,,,,51
FRA,,Bornert,Nicolas,,,,52
FRA,,Binon,Binon,,,,53
FRA,,Morel,Dervieux,,,,54
FRA,,Le Soudeer,Breard,,,,55
FRA,,Cossaltier,Taudinotte,,,,56
FRA,,Hue,Norman Vittecoq,,,,57
FRA,,Rimbert,Laugerotte,,,,58
FRA,,Boyer,Fustec,,,,59
FRA,,Jouanneau,Jouanneau,,,,60
FRA,,Pierre Coindreau,Modolo,,,,61
FRA,,Merle,Dosieres,,,,62
FRA,,Pascal,Jeudy,,,,63
FRA,7185,Bernard Paternault,Denis Guiomard,,,,64
FRA,,Polet,Lafolie,,,,65
FRA,,Trenteseaux,Rigot,,,,66
FRA,5803,Christian Maréchal,André Gerbet,,,,67
FRA,7171,Patrick Bretagne,Gonichon,,,,68
FRA,,Lambert,Pisa,,,,69
FRA,,Lazarou,Demoecq,,,,70
FRA,,Nivert,Nivert,,,,71
FRA,,Gillet,Gillet,,,,72
FRA,,Gautier,Gautier,,,,73
FRA,,Piquemal,Hemmert,,,,74
FRA,,De Monteil,De Monteil,,,,75
FRA,,Alain Preel,Margot,,,,76
FRA,,Bouichou,Bouichou,,,,77
FRA,,Gerard,Pascal,,,,78
FRA,,Legond,Legond,,,,79
BEL,,Fleron,Fleron,,,,80
FRA,,Feracci,Lasserre,,,,81
FRA,,Talston,Sidpall,,,,82
FRA,,Bruneau,Guilland,,,,83
FRA,,Duminil,Duminil,,,,84
FRA,,Dewagenaere,Dewagenaere,,,,85
FRA,,Dufosse,Le Biez,,,,86
FRA,,Daries,Zakarian,,,,87
FRA,,Delprat,Brueil,,,,88
FRA,,Tourgis,Hache,,,,89
