Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
FRA,,Serge Gubri,Jean-Pierre de Beaumont,,,,,,,,,1
FRA,6600,Jacques Raguet,Samuel Thomas,,,,,,,,,2
FRA,,François Le Trocquer,Girardet,,,,,,,,,3
FRA,6589,Marcel Buffet,Boichou,,,,,,,,,4
FRA,,Alain Boite,Maubert,,,,,,,,,5
FRA,,Niverd,Nivers,,,,,,,,,6
FRA,,Taudin,Cossaltier,,,,,,,,,7
FRA,,Gilbert Vinches,Rougier,,,,,,,,,8
FRA,,Gerard,Pascal,,,,,,,,,9
FRA,,Alain Doloy,Polet,,,,,,,,,10
FRA,,Pierre Coindreau,Pinkbam,,,,,,,,,11
FRA,,Bornert,Bornert,,,,,,,,,12
FRA,,Binon,Binon,,,,,,,,,12
FRA,,Lazarou,Democq,,,,,,,,,12
FRA,,Patrick Bretagne,Eric Levrat,,,,,,,,,15
FRA,,Legond,Legond,,,,,,,,,15
