Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,6589,Marcel Buffet,Brezot,,,,,,,,,,1
FRA,,Weber,Méliat,,,,,,,,,,2
FRA,7171,Patrick Bretagne,Eric Levrat,,,,,,,,,,3
FRA,,Georges le Troquer,Laguitte,,,,,,,,,,4
FRA,,Geliot,Falle,,,,,,,,,,5
FRA,,Pascal,Jeudi,,,,,,,,,,6
FRA,,Bornert,Zacharian,,,,,,,,,,7
FRA,,Bereault,Bereault,,,,,,,,,,8
FRA,,Eggenschakecrer,Eggenschakecrer,,,,,,,,,,9
FRA,,Lazariou,Demoecq,,,,,,,,,,10
FRA,,Pascal,Ledoux,,,,,,,,,,11
FRA,,Pascal,Perry,,,,,,,,,,12
