Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
FRA,6589,Marcel Buffet,Binon,,,,,,,,,1
FRA,7185,Bernard Paternault,Denis Guiomard,,,,,,,,,2
FRA,6804,Bachmann,Dauer,,,,,,,,,3
FRA,6731,Tricard,Point,,,,,,,,,4
FRA,5803,Christian Maréchal,P. Deroche,,,,,,,,,5
FRA,1*,Mazure,Koch,,,,,,,,,6
FRA,6590,Bornert,Margot,,,,,,,,,7
FRA,6905,Jouanneau,Seruzier,,,,,,,,,8
FRA,7171,Patrick Bretagne,Yvakno,,,,,,,,,9
FRA,5827,Pascal,Pascal,,,,,,,,,10
FRA,58*,Dewagenbere,Dewagenbere,,,,,,,,,11
FRA,5776,Pierre Coindreau,Dewsbury,,,,,,,,,12
FRA,5728,Duminil,Duminil,,,,,,,,,13
