Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,6600,Jacques Raguet,Samuel Thomas,,1,4,4,1,,,,,
FRA,,Yves Pottier,Jean Nadaud,,2,1,,3,,,,,
FRA,7172,Gilbert Vinches,Robert Leibovitch,,3,2,,2,,,,,
FRA,,J. Rimbert,Michel Laugerotte,,4,,2,,,,,,
FRA,,Le Souder,Schmulbler,,,3,5,,,,,,
FRA,,Gérard Derché,Alain Derché,,,,3,,,,,,
FRA,,Bruno Lévesque,,,,,,,,,,,
FRA,,Remi Tristan,Gwenola Tristan,,,5,1,4,,,,,
