Country,SallNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Fleet Boat,Total,Nett,Rank
RSA,9094,Peter Funke,Thomas Funke,Aeolians/PYC,[2],10,1,10,1,1,1,1,1,Lelo,10,8,1
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,1,2,2,2,3 SCP,[5 SCP],4 SCP,4 SCP,3 SCP,BRT,26,21,2
RSA,8520,Aaron Biagio,Mark Biagio,VLC,3,3,3,[7 DNF],3,2,2,2,3,Geelslang,28,21,3
RSA,8675,Campbell Alexander,Anthony Macmillan,PVC,4,4,4,[7 DNF],4,3,35,4,7 DNF,IV Graue Maus,40,33,4
RSA,7722,Dudley Thomson,Allan Lethwaite,BSC,[5]),5,5,3,5,5,5,5,4,Panther,42,37,5
RSA,7608,Denver Kruger,John Alan Harding,PYC,6,6,[7 DNF],7 DNF,7 DNC,7 DNF,7 DNC,7 DNF,7 DNF,Weisse Maus,61,54,6
