POL SailNo,HelmName,CrewName,Club,R1,R2,R3,Suma,Rank
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,1.0,2.0,3.0,6.0,1st
POL 8909,Jan Domański,Michał Wdówka,KPMG Sailing Team,4.0,1.0,5.0,10.0,2nd
POL 8812,Sławomir Plichta,Paweł Prus,YK Stal,2.0,6.0,4.0,12.0,3rd
POL 9020,Tomasz Brzozowski,Paweł Choroba,Horn Kraków,5.0,8.0,1.0,14.0,4th
POL 8416,Bogna Płachecka,Roman Główka,MOS Warszawa,3.0,7.0,9.0,19.0,5th
POL 8736,Adam Kuczyński,Andrzej Borowiak,,6.0,4.0,10.0,20.0,6th
POL 8802,Dominik Ostrowski,Jakub Folczak,"MKS ""Dwójka"" Warszawa",7.0,5.0,8.0,20.0,7th
POL 8665,Marcin Panek,Jan Walczak,,8.0,10.0,6.0,24.0,8th
POL 9132,Przemek Zagórski,Michał Olko,YK Stal Gdynia,20.0 UFD,3.0,2.0,25.0,9th
POL 8493,Mieczysław Szwed,Konrad Plewa,Centrum Żeglarskie Szczecin,12.0,11.0,7.0,30.0,10th
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,10.0,9.0,11.0,30.0,11th
POL 8145,Paweł Kluczyński,Władysław Kondej,AZS Poznań,11.0,15.0,12.0,38.0,12th
POL 8497,Anna Zabłocka,Bartosz Kowalczyk,ŻLKS Poznań,9.0,14.0,16.0,39.0,13th
POL 8582,Szymon Szymik,Adam Kominek,YKP Bielsko,14.0,12.0,14.0,40.0,14th
POL 8129,Jakub Kusiorski,Robert Korybut-Daszkiewicz,,15.0,13.0,13.0,41.0,15th
POL 8217,Wojciech Denderski,Wojciech Kasprzyk,PSK 505,16.0,17.0,15.0,48.0,16th
POL 881,Paweł Rzepecki,Szymon Swosiński,RP Architektura Sailing,13.0,18.0,18.0,49.0,17th
POL 8121,Michał Tracz,Andrzej Zdrojek,KŻ Ostróda,20.0 UFD,16.0,17.0,53.0,18th
POL 8359,Tomasz Polikowski,Adam Najmowicz,Stal Gdynia,17.0,20.0 DNF,20.0 DNC,57.0,19th
