Nat SailNo,Name,Crew,,R1,R2,R3,Score,Rank
CAN 8288,Robert Bartlewski,Krzysztof Baran,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
SWE 9002,Per Wester,Lars Wester,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
FRA 9164,Jacques Dechauffour,Sabine Dechauffour,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
POL 8736,Adam Kuczyński,Andrzej Borowiak,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
BEL 9064,Philippe Vandersteen,Gennart,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
DEN 9187,Jan Saugmann,Jacob Ernst,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
DEN 9055,Fabiola Wonterghem,Michael Wonterghem,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
FRA 2658,Anne Marie De Kergariou,De Kergariou Pierre,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
POL 8665,Marcin Panek,Jan Walczak,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
POL 8286,Paweł Rzepecki,Szymon Swosiński,,130.0 DNC,130.0 DNC,130.0 DNF,390,96
POL 8582,Szymon Szymik,Adam Kominek,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
POL 8751,Ewa Pawlaczyk,Wojciech Kasprzyk,,130.0 DNC,130.0 DNC,130.0 DNF,390,96
POL 8145,Paweł Kluczyński,Władysław Kondej,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
POL 8490,Marcin Pfeiffer,Ryszard Pfeiffer,,130.0 DNF,130.0 DNC,130.0 DNC,390,96
POL 8770,Jakub Gąsiorowski,Karolina Gąsiorowska,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
FIN 8678,Tatu Miettinen,Ville Tarvo,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
POL 8359,Tomasz Polikowski,Adam Najmowicz,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
POL 8422,Marcin Pietrzak,Marcin Pietrzak,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
POL 8416,Bogna Płachecka,Roman Główka,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
POL 7942,Aleksandra Kachlicka,Michał Prończuk,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
FIN 9212,Thomas Held,Thomas Held,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
GER 9000,Thorsten Pösch,Moritz Lüther,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
GER 9131,Jörn Wille,Martin Bergmann,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
GER 9100,Nathalie Zeiler,Zeiler Claudius,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
GER 9040,Norbert Dasenbrook,Oliver Stieglitz,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
GER 8550,Martha Hauschild,Michael Heyder,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
GER 9141,Konrad Otto,Martin Lietz,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
GER 9197,Nicola Birkner,Angela Stenger,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
GER 9144,Jürgen Anton,Ulf Denecke,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
GER 8458,Robert Bautz,Sascha Spors,,130.0 DNC,130.0 DNC,130.0 DNC,390,96
