Sail Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,N,Nr
GER 8992,Michael Quirk,Holger Jess,RPEYC,1,4,8*,1,8,1,3,3,8,4,2,35,1
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,2,1,3,4,6,5,4,5,4,7*,3,37,2
FRA 9175,Philippe Boite,Mathieu Fountaine,CVSQ,5,10*,7,2,5,6,1,2,2,2,6,38,3
GER 9152,Wolfgang Dr Hunger,Julien Kleiner,PYC,4,3,2,3,1,3,2,8,7,10,37* DNC,43,4
GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,6,8,4,11*,4,2,6,1,3,5,4,43,5
GBR 9203,Nathan Batchelor,Norman Byrd,Tynemouth SC,3,9,5,6,9,4,10,13*,1,8,9,64,6
GER 9185,Stefan Böhm,Gerald Roos,SCV,7,14*,11,8,7,12,5,10,9,1,1,71,7
GER 9035,Timon Treichel,Morten Roos,DYC,9,5,10,5,15,17*,7,7,5,3,5,71,8
GER 9127,Ulf Pleßmann,Hans-Heinrich Rix,AYC,10,2,6,9,10,7,8,9,10,20*,10,81,9
GBR 9178,Chris Lewns,Jack Kilburn,Whitstable,8,6,1,14,11,11,11,6,11,9,37* DNC,88,10
GER 9169,Tim Böger,Markus Schöner,HSC,16*,7,15,7,2,13,12,4,16,12,7,95,11
GER 9182,Alexander Holzapfel,Finn Boeger,PSVK,12,12,9,10,3,8,15,12,14,6,37* DNC,101,12
GER 9149,Jörg Gosche,Rolf Meyer,SCED,14,17,21*,13,13,10,9,11,6,11,8,112,13
GER 8915,Davina Schlesiger,Marvin Schlesiger,MSC,17,16,16,20,19,16,14,26*,12,15,11,156,14
DEN 9055,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,13,15,13,12,12,9,13,37* DNC,,37 DNC,37 DNC,161,15
AUS 9028,Earle Alexander,Hannes Kindermann,Darling Point SS,11,20,22,17,25*,20,17,14,13,17,17,168,16
GER 9035,Ronald Roos,Jonas Royla,SVWU,28*,13,23,22,26,26,16,15,18,19,13,191,17
GER 8750,Peter Kruse,Arne Wittemer,SC HATTINGEN,20,18,17,16,20,21,25,18,17,21,37* DNC,193,18
GER 9101,Matthias Lukosch,Marcus Pies,SCD,29*,24,20,23,16,15,21,25,23,25,15,207,19
POL 9170,Karol Milewski,Bartosz Milewski,YK Stal,18,23,25,37* DNC,17,18,23,17,28,23,16,208,20
GER 9146,Thure Gnadeberg,Aron Tellen,BSV,15,11,12,37* DNC,14,19,37 DNC,37 DNC,15,13,37 DNC,210,21
GER 9057,Imke Brockerhoff,Mathias Weidenbach,DUYC,23,30,37* DNC,37 DNC,22,14,24,16,19,16,12,213,22
GER 9131,Jörn Wille,Martin Bergmann,MSC,22,21,14,18,21,22,26,20,25,27,37* DNC,216,23
GER 9195,Dirk Penno,,DTYC,25,27,28*,21,27,24,19,19,27,18,14,221,24
AUS 9105,Ian Mc Gillivray,James Mc Gillivray,Prestwick,24,22,18,19,29,25,27,21,24,14,37* DNC,223,25
GER 8669,Nils-Henning Hofmann,Jan-Hendrik Lenz,DYC,21,26,24,15,18,37* DNC,22,23,26,22,37 DNC,234,26
GER 9000,Thorsten Pösch,Moritz Lüther,SCSZ,26,25,26,24,33,29,18,28,20,26,37* DNC,255,27
GER 8874,Henning Steffen,Tilman Giesen,SLRV,30,19,19,26,28,37* DNC,37 DNC,37 DNC,,37 DNC,37 DNC,270,28
GER 8806,Anna Hauschild,Katharina Menge,SCS,27,28,29,25,32,31,30,24,22,28,37* DNC,276,29
GER 8934,Frank Beier,Frank Weber,SCLM,32,32,27,37* DNC,24,32,28,27,,37 DNC,37 DNC,276,30
GER 9135,Jens Biederer,Thomas Wasilewski,HSC,37* DNC,37 DNC,37 DNC,37 DNC,23,27,20,22,,37 DNC,37 DNC,277,31
GER 8932,Christian Henge,Katja Henge,WEISE,31,31,30,37* DNC,30,30,29,37 DNC,,37 DNC,37 DNC,292,32
DEN 9128,Per Winther Larsen,Henrik Buhl,Hellerup Sejlklub,19,29,37* DNC,37 DNC,37 DNC,37 DNC,37 DNC,37 DNC,,37 DNC,37 DNC,307,33
GER 8975,Maike Roos,Maren Roos,SVWU,33,37* DNC,37 DNC,37 DNC,31,28,37 DNC,37 DNC,,37 DNC,37 DNC,314,34
FRA 9086,Elisabeth Neidhart,Franck Agrapart,YCIF,37* DNC,37 DNC,37 DNC,37 DNC,34,23,37 DNC,37 DNC,21,24,37 DNC,324,35
SUI 9103,Ammann Walter,Schweizer Peter,SKE,37* DNC,37 DNC,37 DNC,37 DNC,35,37 DNC,37 DNC,37 DNC,,37 DNC,37 DNC,331,36
