SailNo,Helm,Crew,Club,1,2,3,4,5,6,7,Nett,Nat
AUS 9110,Ewa Bartosiewicz,Dominik Buksak,MUSTO,7*,4,1,2,2,5,4,18,1
POL 9118,Jakub Pawluk,Marcin Józefowski,Legia Warszawa/Spójnia Warszawa,3,3,3,3,5,10*,8,25,2
GER 91,Szymon Wierzbicki,Marek Kaczmarek,KEM,2,5,7,13*,8,3,2,27,3
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,6,6,4,8,4,7,9*,35,4
POL 9132,Przemek Zagórski,Michał Olko,Whitewood Sailing Team,5,8,6,11*,10,6,6,41,5
POL 9020,Tomasz Brzozowski,Paweł Choroba,RoosterSailing.pl,15,13,16*,6,6,2,5,47,6
POL 8736,Adam Kuczyński,Andrzej Borowiak,Najazdy Samochodowe,8,29 DNC*,13,5,13,15,7,61,7
POL 8875,Dariusz Konopczak,Leszek Świstelnicki,-,20*,10,10,12,9,13,14,68,8
POL 8909,Jan Domański,Michał Wdówka,KPMG,13,29 RET*,9,7,16,16,17,78,9
POL 8493,Mieczysław Szwed,Konrad Plewa,-,10,9,15,20*,15,12,19,80,10
POL 8802,Dominik Ostrowski,Jakub Folczak,Merlin.pl,12,29 RET*,14,17,14,14,10,81,11
POL 8212,Michał Tracz,Maciej Kondolewski,KŻ Ostróda,16,29 RET*,19,16,18,18,11,98,12
POL 8145,Paweł Kluczyński,Władysław Kondej,AZS Poznań,29 RET*,15,24,14,12,17,16,98,13
POL 8483,Mariusz Michalski,Piotr Duma,-,21,14,23*,15,19,19,15,103,14
POL 7942,Aleksandra Kachlicka,Michał Prończuk,AZS Poznań /ŻLKS Poznań,17,29 DNF*,18,29 OCS,17,9,18,108,15
POL 8286,Paweł Rzepecki,Szymon Swosiński,-,19,11,20,18,22*,20,20,108,16
POL 8358,Tobiasz Zajączkowski,Maciej Goździk,-,29 RET*,29 DNC,17,29 OCS,11,11,13,110,17
POL 8437,Szymon Kabała,Kacper Kaczmarek,AZS Poznań,18,29 DNF*,8,10,29 DNC,29 DNC,29 DNC,123,18
POL 9170,Karol Milewski,Bartosz Milewski,YK Stal Gdynia,11,29 DNC*,11,29,29,29,29,138,19
POL 7237,Mariusz Świstelnicki,Kamil Świstelnicki,-,14,12,29 DNC*,29 DNC,29 DNC,29 DNC,29 DNC,142,20
POL 8422,Marcin Pietrzak,Marcin O. Pietrzak,-,29 DNC*,29 DNC,22,19,21,29 DNC,29 DNC,149,21
POL 8028,Anna Zabłocka,Grzegorz Kidacki,-,29 DNC*,29 DNC,25,21,20,29 DNC,29 DNC,153,22
POL 8751,Wojciech Kasprzyk,Maciej Kasprzyk,Centrum Żeglaskie,29 RET*,29 DNC,21,22,29 DNC,29 DNC,29 DNC,159,23
POL 8416,Bogna Płachecka,Roman Główka,MOSZ Warszawa,29 RET*,29 DNC,29 DNC,29 DNC,29 DNC,29 DNC,29 DNC,174,24
POL 8359,Tomasz Polikowski,Adam Najmowicz,Eurobank Sailing Team,29 RET*,29 DNC,29 DNC,29 DNC,29 DNC,29 DNC,29 DNC,174,24
