Nation,Boat,Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,7589,P. Colclough,,,"0,75","0,75",2,"0,75",200,3,18,14,200,"0,75","0,75",68,200,9,2,2,2,2,200,200,200,200,"13,75",1,,,,,1
GBR,7787,M. Jones,,,37,77,"0,75",2,"0,75",43,71,75,2,75,43,3,2, ,2,4,4,75,75,200,2,14,75,,,,,,2
GBR,7766,P. White,,,16,3,3,12,200,16,9,3,12,,16,11,200,2,2,20D,75,75,3,5,11,6,2,3,75,19,,,3
GBR,7664,C. Robinson,,,2,2,17,4,3,55,17,4,,55,6,200,10,75,MO,2,73,4,6,13,3,5,5,200,30,75,,,4
GBR,7669,C. Lewis,,,11,13,11,64,4,55,11,64,,55,4,75,5a,2,200,10,3,9,15,4,75,75,75,200,32,,,,5
GBR,7784,O. Steward,,,5,77,6,64,200,44,6,64,,44,10,5,43,200,6,5,54,9,50,75,0,75,200,40,5,,,,6
GBR,7788,A. Gilmour,,,21,20,4,20,34,10,4,94,10,4,4,5,229,no,203,200,5,4,2,3,4,3,,,,,,,7
GBR,7769,N. Smith,,,6,10,20,6,34,200,20,6,,200,200,206,200,20,4,14,23,6,34,7,14,2,71,60,,,,,8
GBR,7680,J. McLaren,,,4,23,36,17,34,"0,75",36,17,34,75,4,7,200,42,5,203,14,10,13,21,5,4,6,/0,200,66,75,,9
GBR,7666,M. Lawton,,,9,24,7,82,7,7,82,,45,9,5,II,14,0,17,7,36,5,19,25,12,2,200,67,,,,,10
GBR,7693,N. Martin,,,200,29,12,14,200,12,14,203,,203,2,1,3,25,7,14,16,19,10,6,7,8,74,"0,1",,,,,11
GBR,7580,M. Platts,,,8,28,25,13,5,7,776,773,173,7,t7,15,171,1,200,200,777,17,71,70,73,71,127,75,,,,,12
GBR,7706,D. Revill,,,200,16,33,18,6,6,9,30,MO,4,3,209,44,203,16,20,15,4,16,200,200,200,12,2,14,,,,13
GBR,7649,N. Thomas,,,6,9,30,5,200,14,19,40,6,2,20,44,12,13,37,8,13,56,200,88,15,,,,,,,,14
GBR,7675,B. Tucker,,,14,19,40,8,2,3,82,13,112,9,55,59,A ,20,3,75,T3,11,7,17,"0,12",200,200,92,75,16,,,15
GBR,7701,M. Elkington,,,3,82,13,82,9,32,16,25,10,23,10,MO,6,64,24,9,24,23,24,20,9,3,5,6,7,,,,16
GBR,7662,D. Peacock,,,32,18,28,24,10,18,31,41,11,12,10,13,9,64,70,16,13,73,73,22,51,59,21,34,4,13,710,,17
GBR,7667,D.White,,,200,15,15,64,200,200,200,203,5,25,ZOO ,200,200,203,3,32,203,2DD,200,2,13,11,19,139,,,,,18
GBR,7624,C. Fry,,,25,14,82,7,34,7,2,76747,707,1,0,776,r7,17,17,"270,7",7470,726,78,27I,117,"717,7",8,37,,,,,19
GBR,7662,R. Deane,,,18,31,41,11,12,203,7,5,27,200,200,200,18,37,23,200,34,18,14,24,4,20,200,24,,,,,20
GBR,7700,V. Ralston,,,32,200,200,200,200,6,9,34,25,22,17,19,12,Is,44,200,31,73,200,200,104,35,15,161,27,,,,21
GBR,7323,C. Dawson,,,200,200,200,200,200,2703,1270P,7200,7707,2,7,g 0 1,4,,,,,,,,,,,,,,,,22
GBR,7653,B. Middleditch,,,10,37,48,64,8,168,200,46,51,26,101,1,11,33,64,100,49,8,37,24,37,27,17,190,30,,,,23
GBR,7638,R. Lord,,,200,7,5,27,200,,,,,,,,,,,,,,,,,,,,,,,,24
GBR,7744,C. Apthorpe,,,200,7,14,31,34,,,,,,,,,,,,,,,,,,,,,,,,25
GBR,7505,N. Martin,,,200,6,10,10,200,,,,,,,,,,,,,,,,,,,,,,,,26
GBR,7491,S. France,,,19,8,9,21,34,,,,,,,,,,,,,,,,,,,,,,,,27
GBR,7189,R. Napier,,,200,55,18,44,200,,,,,,,,,,,,,,,,,,,,,,,,28
GBR,7654,P. Kyne,,,200,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,29
GBR,7665,R. Whittle,,,200,46,51,26,200,,,,,,,,,,,,,,,,,,,,,,,,30
