Nation,Boat,Helmsman,Crew,,Race 1,Race 2,Race 6,Race 4,Race 5,Points,Place
GBR,7669,Chris Lewis,Andy Gray,,1,4,2,1,9,7.5,1
SWE,7591,Ebbe Rosen,Ole Wenrup,,2,7,1,10,1,10.5,2
GBR,7784,Ossie Stewart,Kevin Richardson,,12,1,10,9,2,213/0,3
GBR,7664,Clive Robinson,Malcolm Swallow,,4,6,6,8,11,24,4
SWE,7716,Niklaus Phillipson,Lars Stugemo,,16,3,12,2,10,27,5=
GBR,7788,Andy Gilmour,Nigel Bultitude,,6,5,13,18,3,27,5=
GBR,7766,Peter White,Stuart Childerley,,7,2,19,22,4,32,7
GBR,7803,David Peacock,Keith Summersgill,,10,17,21,4,6,37,8
GBR,7680,John McLaren,Jack Edwards,,5,8,14,23,12,39,9
GBR,7744,Charles Apthorp,Jonathon Clark,,11,10,16,12,7,40,10
GBR,7769,Nicholas Smith,Barry Smith,,15,22,3,13,17,48,11
GBR,7700,Vernon Ralston,Pete Siddall,,3,15,24,19,13,50,12
GBR,7837,Dave White,Nigel Squirrell,,23,14,8,14,15,51,13
GBR,7693,Nick Martin,Hugh Myers,,28,12,47,7,8,55,14
GBR,7706,Dave Revill,Nigel Brackenbury,,14,13,17,16,28,60,15
GBR,7698,Andy Barker,Ian Stewart,,30,28,33,5,20,83,16
FRA,7710,Marcel Buffet,Christian Lippi,,32,16,25,15,46,88,17
GBR,7838,Richard Lord,Les Rant,,26,32,5,29,37,92,18
GBR,7441,Lloyd Fryer,Mike Cox,,20,27,31,25,22,94,19
GBR,7378,Dave Sherwin,Dave Freeman,,37,38,11,28,26,102,20
GBR,7505,Neil Martin,Martin Hughes,,RET,23,43,11,29,106,21=
GBR,7653,Barry Middleditch,Peter Coit,,22,26,56,40,18,106,21=
GBR,7662,Roger Deane,Tim Williams,,RET,24,44,37,5,110,23
GBR,7018,J. Murphy,D. Williamson,,27,18,52,20,49,114,24
GBR,7743,Mike Hutchings,Pete Hutchings,,21,RET,27,50,16,114,24
GBR,7345,Chri Timmins,Ian Munro,,43,21,35,33,27,116,26
GBR,7621,David Jarrett,Simon Rogers,,41,29,22,46,25,117,27
GBR,7577,Mike Hattemore,Mike Payne,,31,11,64,RET,14,120,28
USA,7839,James L. Jacob,Gary Smith,,19,51,4,57,47,121,29
GBR,6977,Colin Jarvis,Derek Jarvis,,36,35,28,26,RET,125,30
GBR,7852,Phil Morrison,Martin Gottrel,,49,49,9,65,23,130,31
GBR,7845,Phillip Inscoe,Adrian lnscoe,,47,44,7,45,35,131,32
GBR,7789,Dave Wood,Chris Day,,54,34,34,34,33,135,33
GBR,7779,Gary Lowry,Roger Cooper,,29,RET,46,39,24,138,34
GBR,6959,Judith French,Peter French,,35,RET,26,41,38,140,35=
GBR,7767,Jim Berry,Dave Barnes,,24,31,45,51,40,140,35=
GBR,7415,D. Parsons,Martin Pattimore,,39,46,39,31,34,143,37
GBR,7676,Mark Wincer,David Bayfield,,42,37,37,35,39,148,38
GBR,7801,Ian Coleman,Simon Clover,,34,25,72,73,19,150,39
GBR,7807,Robin Whittle,Timothy Whittle,,40,40,30,DNS,44,154,40
GBR,7777,Michael Lawton,Ian Godfrey,,13,RET,32,3,RET,159,41
GBR,7265,Phil Brown,Debbie Brown,,77,50,23,56,31,166,42
GBR,7666,Robin Wood,Steve Bowen,,33,47,58,27,RET,165,43
GBR,7323,Chris Dawson,John Showell,,25,19,20,RET,RET,175,44
GBR,7585,Nigel Summers,Nigel Burt,,46,30,48,61,RET,185,45
GBR,6880,John Goldsbrough,Ian Bullock,,60,61,36,62,30,187,46
GBR,7497,Steve Arkley,Dick Vivers,,50,33,53,55,53,189,47
GBR,7832,David Worth,G. Lagar,,62,52,38,76,39,195,48
GBR,7713,Adrian Gibbons,Phillip Gibbons,,44,RET,73,42,36,195,49
GBR,6692,Tom Carr,Kate Buie,,55,43,57,80,43,198,50
IRL,7768,Julian Cooke,Denis O'Sullivan,,64,42,78,58,41,204,51
GBR,7778,Fred Kinmoth,Ken Norris,,DNS,DNS,41,30,21,205,52
GBR,6688,Martin Hunt,Steven Hunt,,45,39,62,60,RET,206,53
GBR,7222,Dougal Henshall,Andy Duncan,,58,RET,65,48,45,216,54
