Nation,SailNo,HelmName,CrewName,Club,Race1,Race2,Race3,Race4,Race5,Total,Nett,Rank
FIN,9069,Rosemarie Hartman,Tuomas Laurila,Merenkävijät,1,(2),1,2,1,7,5,1st
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,2,1,2,1,(5.0),11,6,2nd
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,(3),3,3,3,3,15,12,3rd
FIN,9212,Thomas Held,Juha Nurmela,BSS,4,4,(5.0),5,2,20,15,4th
FIN,8466,Hannu Pöyry,,VVK,5,(8 DNC),4,4,4,25,17,5th
FIN,8352,Kari Lehtonen,Timo Vennonen,HSK,(8 DNC),5,6,6,6,31,23,6th
FIN,8127,Mikko Laine,Kalle Aaltonen,TPS,6,6,7,7,(8.0 DNC),34,26,7th
