Nation,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Position
GER,8769,Boehm Stefan,Roos Gerald,S.C. VILLE,1,3,3,2,2,DNF,11,1
GBR,8787,Scutcher Terry,Diebitsch Christian,SHOTLEY S.C.,3,1,2,4,3,DNF,13,2
SUI,8729,Jacot Caroline,Jacot Philippe,C.V. NEUCHATEL,2,2,4,10,8,2,18,3
GER,8744,Rix Hans-Heinrich,Goerge Rainer,T.S.V.S.,4,10,5,5,4,3,21,4
GER,8376,Volker Niediek,Heising Stefan,BALITSCHE S.S.,9,4,1,11,11,6,31,5
GER,8633,Soellner Sophie,Stueckl Wolfgang,C.Y.C.,13,9,10,7,5,1,32,6
GER,8750,Muellejans Christian,Jung Thomas,S.V. WUPPERTAL,8,5,6,9,17,4,32,7
SUI,8543,Bart Cedric,Marti Ueli,C.N. BEVARIX,6,7,9,6,12,10,38,8
GER,8580,Muehlbauer Markus,Achterberg Andreas,DEUTSCHER T.Y.C.,DNS,16,7,1,1,16,41,9
SUI,8569,René Betschen,Ducomann Patrick,C.N. BERAIX,5,8,11,17,6,11,41,10
GER,8777,Schollmayer Stefan,Sanguino Frisco,S.C.M.S.P.,7,12,13,8,21,7,47,11
GBR,8685,Sims Richard,Wood Simon,CARSINGTON S.C.,10,6,DNF,12,9,12,49,12
GER,8665,Schlomka Jens-Peter,Schlomka Norman,T.S.V.S.,11,11,8,15,19,8,53,13
GER,8686,Voelckner Nicolai,Dehne Lars,S.V.H. BENSERSIEL,12,21,12,3,14,18,59,14
GER,8642,Greger Thoralf,Qualdfass Tobias,A.S.V. GREIFSWALD,15,22,16,16,10,9,66,15
GER,8751,Weigelt Frank,Stenger Angela,DEUTSCHER T.Y.C.,18,18,21,DNF,13,5,75,16
GBR,8745,Pearson Christopher,Rainsborough Frank,QUEEN MARY S.C.,21,17,17,13,22,14,82,17
GER,8530,Von Mertens Alexander,Wiesbauer Pia,B.S.V.,19,13,18,19,16,17,83,18
GER,8519,Wisolek Robert,Schmederer Johannes,S.C.L.W.,14,14,15,14,DNF,DNF,85,19
GER,8473,Kraft Oliver,Goeggel Andreas,S.S.C.M.,17,15,23,22,15,23,92,20
GBR,8591,Bell David,Ward Peter,BURTON S.C.,20,19,20,18,20,15,92,21
GER,8388,Szesny Caroline,Wolffram Peter,FRANKFURTER Y.C.,25,25,19,21,7,21,93,22
GER,8546,Haensgen Dirk,Rupprich Frank,SV. PADERBORN,22,20,14,20,DNF,DNF,104,23
GER,7442,Friedrich Natalie,Zeiler Caludius,DHH,23,23,22,24,18,19,105,24
GER,8505,Kluck Adalbert,Schmidt Gerard,T.S.V.S.,16,DNF,DNF,DNF,24,13,109,25
GER,8375,Koch Torsen,Schiedt Franziska,HERRSCHINGER S.C.,24,24,DNF,23,23,22,116,26
GBR,8435,Mcgale Patrick,Slater Graham,QUEEN MANY SC,DNS,DNS,DNS,DNS,25,20,129,27
