Nation,Ident,Helm,Crew,Club / Pays,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,P Ret,P tot,Rgs
FRA,9098,Michel Delsemme,Christian Simonnot,S N DE ST TROPEZ/Y C TOULON,2*,2,1,1,1,1,8,6,1
SUI,8961,Toni Utiger,Markus Heilig,SUISSE,1,1,2,DNF 3*,2,2,11,8,2
