Nation,SailNo,Skipper,,,D1 R1 Aug 27,D1 R2 Aug 27,D1 R3 Aug 27,D1 R4 Aug 27,D1 R5 Aug 27,D2 R1 Aug 28,D2 R2 Aug 28,D2 R3 Aug 28,D2 R4 Aug 28,D2 R5 Aug 28,D3 R1 Aug 29,D3 R2 Aug 29,D3 R3 Aug 29,Total,Nett,Rank
,8012,Henry Amthor,,,2,(3.0),1,2,2,1,1,1,1,2,(6.0),1,2,25,16,1st
CAN,8264,Jeff Boyd,,,1,1,2,1,1,2,2,(4.0),2,1,1,2,(12.0 OCS),32,16,2nd
CAN,8442,Stephen Adolph,,,5,2,(12.0 DNC),(8.0),3,3,3,2,3,3,3,3,1,51,31,3rd
,8850,Douglas Watson,,,6,6,3,3,4,4,7,3,(12.0 DNC),(12.0 DNC),4,4,6,74,50,4th
,8696,David Adams,,,(11.0),5,4,4,5,6,4,(12.0 OCS),4,4,8,7,8,82,59,5th
,7605,Renka Gesing,,,(8.0),7,5,5,7,7,5,7,6,7,2,(12.0 DNF),4,82,62,6th
,8233,Marie Gendron,,,9,8,6,(12.0 DNC),(12.0 DNC),5,6,5,5,8,5,5,3,89,65,7th
,8610,Shona Weldon,,,3,(10.0),8,6,8,9,(12.0 DNF),6,7,6,7,6,5,93,71,8th
CAN,8535,Marg Hurley,,,4,(12.0 DNC),(12.0 DNC),7,6,11,12.0 DNC,12.0 DNC,8,5,9,9,9,116,92,9th
,8410,Clarissa Bush,,,7,4,7,9,(12.0 DNF),8,(12.0 DNC),12.0 DNF,12.0 DNC,12.0 DNC,10,10,7,122,98,10th
,8190,Tim Sayles,,,10,9,9,(12.0 DNF),(12.0 DNC),10,8,8,12.0 DNC,12.0 DNC,11,8,12.0 DNF,133,109,11th
