Nation,Boat NO,Helm,,Boat Name,Race 1,Race 2,Race 3,Race 4,Points,Place
CAN,,K. Shultz,,Beer II,1,2,[3],1,3.5,1
CAN,6910,J. Bryant,,Toil&Trouble;,[5],1,2,3,5.75,2
CAN,7798,M. Hurley,,Envy,[4],3,1,4,7.75,3
CAN,8442,M. Hoffman,,Fine Pickle,2,4,[8],2,8,4
CAN,8410,C. Bush,,Bandersnatch,3,7,4,[8],14,5
CAN,7796,D. Ashby,,Boojum,[6],5,5,5,15,6
CAN,,B. Beniniger,,Aligator Pie,[7],6,6,6,18,7
