Nation,Sail No.,Skipper,Crew,,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Nett,Rank
RSA,8481,Thomas Funke,Pieter Funke,,1,1,1,(2.0),1,1,(2.0),2,2,2,15,11,1
RSA,8789,Alex Ham,Warwick Ham,,(DNC),2,2,3,3,(4.0),1,1,1,1,29,14,2
RSA,8445,Kyle Klaas,R van Gruenen,,3,3,(DNC),1,2,2,3,(5.0),5,3,38,22,3
RSA,8707,Albrecht Holm,Dietmar Holm,,2,4,3,(6.0),(DNC),6,4,4,3,4,47,30,4
RSA,8121,Bronwen Klaas,Kobus Holtzhausen,,5,5,4,4,(6.0),5,6,3,(7.0),6,51,38,5
RSA,8675,Greg Hurter,Ian Hogg,,6,6,(DNC),(7.0),5,7,5,6,4,5,62,44,6
RSA,8*,A Rogovski,Alan Haylett,,4,7,(DNC),5,(DNC),3,DNC,7,6,7,72,50,7
RSA,18481*,Patrick Harris,Jeremy Kriek,,7,(DNC),(DNC),DNC,4,8,DNC,DNC,DNC,DNC,96,74,8
RSA,4437,G Ballantyn,,,8,8,(DNC),(DNC),DNC,9,7,DNC,DNC,DNC,98,76,9
RSA,8537,Dirk von der Fecht,Gavin Dreckle,,(DNC),(DNC),DNC,DNC,DNC,10,DNC,DNC,DNC,DNC,109,87,10
