Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat Name,Points Total,Points Netto,Place
USA,9262,Howard Hamlin,Andrew Zinn,,7,3,4,8,3,2,2,4,1,,,26,1
GBR,9274,Paul Brotherton,James Fawcett,,4,7,9,1,1,6,1,2,8,,,30,2
GBR,9215,Roger Gilbert,Ian Mitchell,,8,5,3,2,2,3,4,3,11,,,30,3
FRA,9270,Philippe Boite,Timothée Chiron,,11,1,1,3,4,1,15,9,4,,,34,4
GBR,9283,Ian Pinnell,Rob Woelfel,,3,2,10,5,6,4,14,7,5,,,42,5
SUI,9267,Caroline Jacot,Philippe Jacot,,2,10,DSQ,4,8,8,8,1,2,,,"50,2",6
GER,9258,Alexander Holzapfel,Arne Wittemer,,6,4,2,6,13,7,11,13,3,,,52,7
FRA,22*,Florence Lebrun,Ludovic Roblin,,1,DSQ,6,23,11,9,5,11,7,,,73,8
FRA,9147,Hervé de Kergariou,Valentin Dechauffour,,27,14,11,9,7,5,7,10,10,,,73,9
USA,91*,Pierre Jeangirard,Paul von Grey,,9,11,17,12,5,10,6,22,9,,,79,10
AUS,9278,Malcolm Higgins,Nick Johnston,,12,6,12,10,9,11,13,18,12,,,85,11
AUS,9263,Michael Quirk,Rob Allen,,15,9,8,11,14,14,3,12,22,,,86,12
BEL,9163,Pierre Gorremans,Gilles Chapelin,,10,8,5,13,20,16,10,14,13,,,89,13
USA,9247,Mike Punnett,Alex Davies,,5,15,16,7,12,13,18,16,23,,,102,14
FRA,8847,Bastian le Morvan,Jordane Lafortune,,18,19,15,DSQ,16,17,9,6,6,,,106,15
FRA,9220,Emmanuel Desfond,Leonard Gien,,16,13,21,14,10,30,28,21,15,,,138,16
GBR,9168,Miles Odell,Richard Nurse,,13,25,13,19,24,23,19,8,20,,,139,17
AUS,9194,David Snoad,Heath Belton,,25,18,22,15,19,12,29,15,19,,,145,18
FRA,9218,Bertrand Commeil,Charles Commeil,,20,21,14,28,15,22,17,19,18,,,146,19
FRA,9219,Elisabeth Neidhart,Pierre-Jean Gallo,,17,26,24,20,26,20,20,5,24,,,156,20
FRA,8904,Anaïs Dechauffour,Benoît Radier,,28,20,20,18,17,21,12,26,28,,,162,21
FRA,9019,Véronique Brenet,Jean-Pierre Peter,,22,12,19,16,27,26,24,27,21,,,167,22
FRA,8954,Muriel Jeanne Agrapart,Franck Agrapart,,14,27,7,24,21,25,26,24,29,,,168,23
BEL,8613,Kim Van Assche,Tessa Liebens,,30,17,26,17,23,24,27,20,14,,,168,24
GBR,9261,Martin Wedge,Graham Elliott,,21,23,23,29,18,19,22,28,16,,,170,25
FRA,9031,Philippe Lucienne,Vivien Lucienne,,29,16,25,21,28,15,21,29,30,,,184,26
FRA,9145,Louis Radier,Coraline Roblin,,19,RET,18,22,25,27,23,17,DNS,,,187,27
FRA,8895,Nicolas Michel,Hubert Gendreau,,24,22,27,25,22,18,31,23,27,,,188,28
FRA,9045,Nicolas Guillou,Nicolas Radier,,23,24,DNC,DNC,DNC,DNC,16,25,17,,,213,29
FRA,8683,Jean-Pierre Derungs,Thomas Couchon,,26,30,29,26,32,28,25,30,25,,,219,30
FRA,8885,Yves Chene Pierre,Julien Chazet,,31,28,28,30,29,29,30,31,26,,,231,31
FRA,8342,Guillaume Senoville,Alexandre Levet,,33,29,30,27,30,31,34,32,32,,,244,32
FRA,9010,Louve Bas Marette,Elouan Agrapart,,32,31,31,32,34,32,33,33,31,,,255,33
FRA,8152,Eric le Morvan,Maxence Napolitano,,34,32,33,33,33,33,32,34,33,,,263,34
FRA,9179,Antoine Victor,Pascal Corcessin,,DNC,DNC,32,31,31,DNF,DNC,DNC,DNC,,,274,35
