Sail,No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Points,Place
GER,9251,Jan-Philipp Hofmann,Felix Brockerhoff, ,2,6,2,1,3,1,4,1,2,[12],22,1
USA,9266,Mike Holt,Rob Woelfel, ,11,1,3,8,4,4,6,2,4,[18],43,2
GBR,9274,Paul Brotherton,James Fawcett, ,1,2,1,7,9,[17],5,6,1,13,45,3
USA,9262,Howard Hamlin,Jeff Nelson, ,3,5,4,10,1,7,2,4,14,[22],50,4
GBR,9283,Ian Pinnell,Richard Mundell, ,4,7,[12],5,2,2,7,8,9,7,51,5
GER,9101,Timon Treichel,Morten Roos, ,7,4,6,6,13,5,[23],15,15,3,74,6
FRA,9270,Philippe Boite,Timothee Chiron,CVSQ ASCE VOILE ESPAR,10,9,11,4,11,[15],14,9,7,2,77,7
GBR,9232,Robert Gullan,Paul Childs, ,16,3,5,[21],19,6,13,11,10,1,84,8
GER,9258,Alexander Holzapfel,Arne Wittemer, ,9,15,10,2,[16],9,9,7,12,15,88,9
GBR,9214,Andy Smith,Jonny Mildred, ,8,10,9,14,15,11,[19],14,8,14,103,10
FRA,22*,Maxime Paul,Ludovic Roblin,LA ROCHELLE NAUTIQUE BNIG,14,16,13,15,10,3,[25],3,25,6,105,11
GER,9260,Tim Boger,Finn Boger, ,12,8,14,3,12,14,15,[21],6,21,105,12
GER,9198,Michael Daisenberger,Johannes Tellen, ,15,12,7,13,[23],18,8,16,17,9,115,13
AUS,9134,Michael Quirk,Rob Allen, ,[26],21,16,23,6,10,17,12,11,11,127,14
FRA,9147,Herve De Kergariou,Valentin Dechauffour,YCIF ASNQ,6,17,19,16,7,[35],12,23,3,27,130,15
SUI,9096,Cedric Bart,Rene Betschen, ,13,11,32,9,8,13,10,19,16,[35],131,16
GER,8669,Nils-Henning Hofmann,Mathias Weidenbach,,18,19,[22],11,20,22,1,17,19,5,132,17
GER,9197,Nicola Birkner,Angela Stenger, ,17,18,26,12,18,8,[28],26,5,4,134,18
SUI,9267,Caroline Jacot,Philippe Jacot, ,21,13,17,17,[29],12,18,5,13,24,140,19
USA,9247,Mike Punnett,Alex Davies, ,5,22,8,25,14,[31],26,25,22,19,166,20
GER,9182,Alexander Swade,Patrick Treichel, ,23,14,15,19,5,24,27,DNF [43],34,28,189,21
FIN,9069,Rosemarie Hartman,Tuomas Laurila, ,[36],20,18,20,28,19,3,33,32,29,202,22
GBR,9261,Martin Wedge,Graham Elliot, ,31,28,28,24,35,16,20,[37],18,10,210,23
FRA,8904,Anais Dechauffour,Benoît Radier,SNO NANTES BNIG,24,23,25,29,17,20,[35],24,23,31,216,24
GER,9130,Kai Bertallot,Kai‑Steffen Hofmann , ,22,29,23,30,30,29,11,18,[37],26,218,25
FRA,9220,Gilles Chapelin,Arthur Radier,CVBCM ASPTT LA ROCHELLE,30,[35],34,32,21,28,22,22,20,20,229,26
FRA,8954,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE C N HAUTE SEINE,35,30,21,18,22,27,36,13,28,[39],230,27
FRA,94*,Nicolas Guillou,Nicolas Radier,SNPH BNIG,29,32,24,[35],26,26,32,27,24,17,237,28
FRA,9075,Loic Bleuez,Thibault Di Pede,AN SAINT MANDRIER C V SEINE‑PORT,27,24,30,26,25,23,[31],31,30,30,246,29
FRA,9211,Jonathan Lobert,Charles-Antoine de Joux,LA ROCHELLE NAUTIQUE LA ROCHELLE NAUTIQUE,25,25,DNF [43],37,39,39,16,20,31,38,270,30
GBR,9253,Peter Colclough,Alister Morley, ,37,33,27,DNS [43],33,21,33,32,21,33,270,31
FRA,9221,Frederic Veroul,Verlhac Aubin Véroul,C N VASSIVIERE C N VASSIVIERE,32,[37],33,33,36,34,24,29,26,25,272,32
FRA,8869,Emmanuel Boyer,Etienne Boyer,SR DOUARNENEZ LA PELLE,34,26,DNF [43],28,37,36,40,10,29,34,274,33
BEL,9121,Paul Gorremans,Marie‑Pierre Hayette/Capaie Wauka,C.A.N HNAIPOLE LIFOU,39,40,DNF [43],31,27,30,38,30,27,16,278,34
GER,8750,Mirco Gantenberg,Jacob Niewiarra, ,20,31,20,39,38,[41],39,38,35,23,283,35
FRA,9218,Bertrand Commeil,Charles Commeil,YC DE CARNAC YC DE CARNAC,19,34,29,27,32,38,37,35,33,[40],284,36
FRA,9163,Pierre Gorremans,Jean-Emmanuel Gorremans,505,36,31,34,24,25,29,36,[39],37, ,285,37
FIN,9043,Hannu Poyry,Matti Dillemuth,505,DNS [43],DNS 43,36,31,32,30,34,38,8, ,293,38
FRA,9164,Jacques Dechauffour,Sabine Dechauffour,ASNQ ASNQ 505,DNC 43,DNC 43,38,34,37,21,28,36,32, ,312,39
GER,9169,Rayan Schöner,Markus Schoener,505,27,36,[40],40,33,34,39,40,36, ,313,40
FRA,8676,Coraline Roblin,Louis Radier,BNIG ASPTT LA ROCHELLE 505,39,37,22,DNF [43],DNS 43,DNS 43,DNC 43,DNC 43,DNC 43, ,351,41
GER,8990,Ralf Breitenfeldt,Ingolf Dresp,505,38,35,[41],41,40,41,40,41,41, ,357,42
