Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
SUI,9267,Caroline Jacot,Philippe Jacot,,1,2,2,1,1,1,,,6,1
FRA,9270,Philippe Boite,Timothée Chiron,,2,1,1,3,2,2,,,8,2
FRA,9150,Valentin Dechauffour,Pierre Gendry,,3,3,5,5,4,UFD,KE ATAO Y,,20,3
BEL,8613,Kim Van Assche,Tessa Liebens,,5,DNF,6,4,3,3,,,21,4
FRA,8954,Muriel Jeanne Agrapart,Franck Agrapart,,12,7,3,9,6,4,,,29,5
FRA,9031,Philippe Lucienne,Vivien Lucienne,,4,4,4,12,8,10,,,30,6
FRA,8847,Bastian Le Morvan,Armel Jacot,,6,5,10,6,7,7,ZAZOU,,31,7
BEL,9121,Paul Gorremans,Marie-Pierre Hayette,,7,RET,9,2,10,5,,,33,8
BEL,9081,Cedric Crets,Lionel Lambert,,8,6,7,7,5,8,,,33,9
SUI,9163,Pierre Gorremans,Jean Gorremans,,10,RET,8,10,12,6,BOATY MCBOATFACE,,46,10
FRA,9219,Elisabeth Neidhart,Eugene Argellies,,9,8,11,11,11,9,,,48,11
FRA,8363,Guillaume Delacroix,Xavier Decaudin,,11,9,12,8,9,DNS,,,49,12
FRA,9010,Louve Bas Marette,Elouan Agrapart,,13,DNF,13,DNF,13,11,,,66,13
FRA,8436,Maxence Napolitano,Elea Vajou,,14,DNF,DNC,13,14,DNF,,,73,14
FRA,8152,Sebastien Brignone,Frederic Barcelo,,RET,DNC,DNC,DNF,DNF,12,ASPTT,,76,15
