Nationalitet,Segelnummer,HelmName,CrewName,Club,R1 9/9,R2 9/9,R3 9/9,R4 9/9,R5 10/9,R6 10/9,R7 10/9,Batnamn,Total,Poang,Rank
SWE,9181,Malin Broberg,Johan Röök,BKSS,1,[13],3,3,7,2,1,,30,17,1
SWE,8962,Peter Bökmark,Martin Persson,BKSS,2,9,7,1,[10],1,2,,32,22,2
SWE,8926,Ebbe Rosen,Olle Wenrup,Malarnöjdens KS,5,1,4,4,[15],3,7,Vattenrattan,39,24,3
SWE,9187,Jonas Berntsson,Magnus Lundberg,STSS,4,3,6,8,[9],9,4,,43,34,4
SWE,9002,Per Wester,Lars Wester,BKSS,12,12,5,2,1,[13],3,Svea,48,35,5
SWE,9029,Mikael Olesen,Ulf Camitz,KSSS,6,4,11,[12],4,4,6,,47,35,6
SWE,9259,Mikael Gustafsson,Tore Reinhold,BKSS,3,8,1,[10],8,7,9,,46,36,7
SWE,8859,Tomas Berg,Johan Calvert,BKSS,14,10,2,6,2,11,[16],Lille Otto,61,45,8
SWE,8807,Didrik Dahlström,Joel Jelf,KSSS,7,2,8,9,5,[14],14,Attioattanollsju,59,45,9
DEN,8827,Torben Pihl,Klaus Søndergaard,Holbaek Sejlklub,11,5,9,5,[13],10,11,Doubl Trouble,64,51,10
SWE,8923,Lars Hultgren,Axel Hultgren,Raa JolleKlubb,9,11,[15],11,12,6,5,,69,54,11
SWE,9143,Thomas Lundberg,Johan Strömdahl,KSSS,[16],16,12,7,3,8,8,Kraken,70,54,12
SWE,9107,Fredrik Hansson,Sven Flood,BKSS,13,[17],10,16,6,12,10,Bird,84,67,13
SWE,9171,Martin Fridh,Mats Dahlander,RJK,8,7,[17],13,14,15,12,Graben,86,69,14
SWE,9038,Kari Byrenius,Jakob Lindvall,Are SlalomKlubb,15,14,14,14,[17],5,15,,94,77,15
SWE,9092,Tom Hastenpflug,Knut Hastenpflug,SSAV,[18],6,16,17,18,18,13,Dele,106,88,16
SWE,8974,Thomas Widstrand,Sten Wallin,BKSS,10,15,18,[23 DNF],11,19,17,Magie,113,90,17
SWE,9062,Robert Sjögren,Matias Heiding,BKSS,17,[18],13,15,16,17,18,,114,96,18
SWE,9128,Håkan Larsson,Fritjof Sunesson,DBS,19,19,19,18,19,16,[23 DNF],,133,110,19
BEL,8773,Karin Hårding,Vidar Hårding,KMS,20,20,20,19,[23 DNS],23 DNS,23 DNS,,148,125,20
SWE,8917,Jesper Fowelin,Fransisco Martins,ÓISS,[23 DNS],23 DNS,23 DNS,23 DNS,20,20,19,,151,128,21
SWE,6718,Annika Lundqvist,Robert Brennick,BKSS,21,[23 DNF],23 DNS,23 DNS,23 DNF,21,20,,154,131,22
