Nat,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Total,Nett,Rank
GER,9169,Tim Böger,Finn Böger,,1,2,3,1,1,2,4,[7],7,1,[24 DNF],53,22,1
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,,[7],7,1,3,2,7,2,3,2,6,[13],53,33,2
SWE,8962,Peter Bökmark,Martin Persson,,4,5,8,2,[11],1,1,6,5,9,[11],63,41,3
GER,9256,Jens Biederer,Jan Reifferscheidt,,3,[10],2,9,3,5,9,4,3,4,[24 RET],76,42,4
SWE,9181,Malin Broberg,Johan Röök,,[12],[13],5,6,6,6,6,10,8,2,1,75,50,5
SWE,9002,Per Wester,Lars Wester,,8,12,[24 DNF],[24 DNS],4,4,3,5,6,5,7,102,54,6
SWE,8926,Ebbe Rosén,Olle Wenrup,,6,3,[24 DNF],[24 DNS],7,9,5,12,4,3,6,103,55,7
SWE,8859,Tomas Berg,Johan Calvert,,14,9,[24 DNF],[24 DNS],10,8,8,2,1,7,4,111,63,8
SWE,9187,Jonas Berntsson,Magnus Lundberg,,11,4,4,10,12,[13],7,8,[14],11,9,103,76,9
SWE,9171,Martin Fridh,Mats Dahlander,,9,[17],11,7,[16],10,10,11,9,10,15,125,92,10
SWE,8923,Lars Hultgren,Axel Hultgren,,10,14,[24 DNF],[24 DNS],15,3,11,14,10,15,2,142,94,11
SWE,9029,Mikael Olesen,Ulf Camitz,,[17],11,9,5,9,15,[16],9,13,14,12,130,97,12
DEN,9243,Per Larsen,Christian Mogensen,,2,1,7,4,5,16,17,[24 DNF],[24 DNS],24 DNS,24 DNS,148,100,13
SWE,9259,Mikael Gustafsson,Tore Reinhold,,[24 DNS],[24 DNS],24 DNS,24 DNS,8,11,14,1,11,12,8,161,113,14
SWE,9222,Tomas Franzen,Lars Lindgren,,5,6,[24 DNF],[24 DNS],13,14,24 DNF,24 DNS,17,13,3,167,119,15
SWE,8974,Thomas Widstrand,Sten Wallin,,15,16,10,8,17,[19],18,13,19,[24 DSQ],5,164,121,16
SWE,8807,Didrik Dahlström,Joel Jelf,,[24 DNS],[24 DNS],24 DNS,24 DNS,14,12,12,16,12,8,17,187,139,17
GER,8928,Anna Lienau,Martin Lietz,,18,18,[24 DNF],[24 DNS],18,17,15,17,18,17,10,196,148,18
GER,8849,Henrik Schade,Ulf Denecke,,13,8,6,[24 DNS],[24 DNS],24 DNS,24 DNS,24 DNS,16,18,16,197,149,19
SWE,9038,Jakob Lindvall,Kalle Byrenius,,16,15,[24 DNF],[24 DNS],19,18,13,15,20,19,14,197,149,20
SWE,8917,Jesper Fowelin,Jonas Wising,,20,[24 DNF],[24 DNS],24 DNS,20,20,19,24 DNF,15,16,18,224,176,21
SWE,9062,Robert Sjögren,Matias Heiding,,19,[24 DNF],[24 DNS],24 DNS,24 DNS,24 DNS,21 DPI1,24 DNS,24 DNS,24 DNS,24 DNS,256,208,22
SWE,9117,Fredrik Molander,Thomas Jaxing,,[24 DNS],[24 DNS],24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,264,216,23
