Nat,Sailnumber,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Total,Nett,Rank
AUS,8801,Peter Nicholas,Luke Payne,Royal Freshwater Bay Yacht Club,-5,1,1,1,1,1,2,1,13,8,1
SWE,9181,Malin Broberg,Johan Röök,BKSS,-13,4,2,4,9,7,1,2,42,29,2
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbaek Sejelklub,-18,5,6,3,5,4,5,7,53,35,3
GER,9135,Jens Biederer,Jan Reifferscheidt,Hamburger Segel Club,-14,9,4,8,6,3,3,4,51,37,4
SWE,8962,Peter Bökmark,Martin Persson,BKSS,-12,2,3,10,2,11,6,6,52,40,5
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,11,10,-18,7,4,2,7,5,64,46,6
SWE,9002,Per Wester,Lars Wester,Bkss,1,-22,11,6,13,10,4,8,75,53,7
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,Segelsällskapet Åmålsviken,6,12,5,9,3,-17,8,10,70,53,8
SWE,9038,Tore Reinhold,Mikael Gustavsson,Björlanda Kile Segelsällskap,17,8,(30 DNF),5,7,6,16,3,92,62,9
SWE,8859,Tomas Berg,Urban Lagne´lls,SS Kaparen,2,3,-22,13,14,16,12,13,95,73,10
SWE,9222,Tomas Franzen,Lars Lindgren,Råå Jolleklubb,16,13,7,-20,15,5,13,11,100,80,11
SWE,9013,Anders Nilsson,Jacob Reuterskiöld,Malmö Segel Sällskap,4,-17,13,16,11,15,11,12,99,82,12
SWE,9143,Thomas Lundberg,Oskar Lundberg,KSSS,15,15,12,12,8,9,17,(30 DNS),118,88,13
SWE,9029,Tomas Grundel,Jonas Strömdahl,KSSS,8,7,8,2,18,18,(30 DNS),30 DNS,121,91,14
SWE,8694,Jari Hamström,Antti Salonen,KuoPS,3,11,10,11,17,12,(30 DNS),30 DNS,124,94,15
SWE,8586,Galen Mack,Johan Calvert,Kungliga Svenska Segel Sällskapet,21,16,9,22,-23,13,10,9,123,100,16
SWE,9171,Mats Dahlander,Martin Fridh,Råå Jolle Klubb,9,19,14,-21,21,8,18,15,125,104,17
SWE,8873,Malin Vångfors,Daniel Lundahl,VäSS,(30 NSC),20,15,14,10,21,9,16,135,105,18
SWE,9117,Fredrik Molander,Tomas Jaxing,Bkss,7,18,16,19,19,19,15,(30 DNS),143,113,19
SWE,8923,Lars Hultgren,Axel Hultgren,Råå Jolleklubb,10,6,17,17,12,(30 DNF),30 DNS,30 DNS,152,122,20
SWE,8974,Thomas Widstrand,Sten Wallin,Gkss,20,14,-25,23,24,14,19,17,156,131,21
SWE,9107,Fredrik Hansson,Sven Flood,LeSS & BkSS,(30 OCS),27,19,15,20,20,30 DNF,14,175,145,22
FRA,9014,Alain Dupuis,Per-Eric Thörnström,Björlanda Kile Segelsällskap,19,21,21,18,16,25,(30 DNS),30 DNS,180,150,23
SWE,8807,Joel Jelf,Carl Grindebratt,Ksss,22,26,26,(30 DNF),25,22,14,18,183,153,24
SWE,8900,Mats Bylander,Jonas Palmkvist,Malmö Segelsällskap,(30 NSC),24,20,26,22,23,20,30 DNS,195,165,25
NED,8585,Carlo Brugman,Meike Brugman,WYM,23,25,23,24,28,24,(30 DNF),30 DNS,207,177,26
SWE,8581,Viktor Wecke,Malin Malmberg,KSSS,24,(30 RET),27,25,26,26,21,30 DNS,209,179,27
BEL,8773,Karin Hårding,Fredrik Wigelius,Kungälvs Motor - och Segelbåtssällskap,25,28,24,27,27,27,(30 DNS),30 DNS,218,188,28
SWE,9092,Knut Hastenpflug,Tobias Bretschneider,Segelsällskapet Åmålsviken,(30 NSC),23,30 DNF,30 DNS,30 DNS,30 DNS,30 DNS,30 DNS,233,203,29
