Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Total,Nett,Rank
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,(2),1,1,1,1,1,2,2,11,9,1st
RSA,8520,Bronwen Klaas,Rudolph Holm,PSC,4,3,2,(9),2,2,1,3,26,17,2nd
RSA,8481,Peter Funke,Carl Wlotzka,PSC,1,(4),3,3,4,4,3,1,23,19,3rd
RSA,8882,Hans Rogotzki,Alan Haylett,PSC,3,(8),4,2,5,3,5,4,34,26,4th
RSA,7493,Mark Biagio,Scott Quarmby,PSC,7,2,5,5,6,8,8,(10),51,41,5th
RSA,8537,Steve Hegerström,Greg Dobson,RNYC,6,9,(11),4,3,7,7,5,52,41,6th
RSA,5889,Nigel Milln,CJ Milln,PYC,(DNF),5,12,11,7,5,4,8,67,52,7th
RSA,8471,Alexander Ham,Warwick Ham,PSC,5,6,7,10,10,10,6,(11),65,54,8th
RSA,8707,Albrecht Holm,Pieter Schön,PSC,8,7,8,(12),11,6,11,6,69,57,9th
RSA,1*,James Hogg,Ian Hogg,RNYC ?,(DNF),13,6,6,8,12,12,7,79,64,10th
RSA,8121,Kobus Holtzhausen,Danie Ungerer,PSC,(DNF),12,10,7,9,9,9,12,83,68,11th
RSA,7608,Greg Hurter,Jeremy Kriek,RNYC,(DNF),10,9,DNC,DNC,11,10,9,94,79,12th
RSA,4902,Jay D'Engle,Andrew Fraser,PSC,(DNF),11,13,8,12,13,13,13,98,83,13th
RSA,8440,Andrew Arthur,Warren Arthur,ESC,(DNF),14,14,DNC,DNC,14,14,14,115,100,14th
