Nation,,,Sail # Skipper/Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Points,Place
CAN,8264,Jeff Boyd,Justin Kitney,,DNS,2,2,1,2,1,1,2,1,1,11.75,1
CAN,8438,John Bryant,Bob Turcke,,2,5,1,4,8,3,3,1,4,4,26.5,2
CAN,8410,Clarissa Bush,Chris Gillies,,3,1,4,2,4,4,5,3,7,2,27.75,3
CAN,8410*,John Bryant,Ron Hughes,,1,3,3,3,1,5,DNF,7,5,5,33.5,4
CAN,8260,Shona Lovshin-Moss,Steve Lovshin,,5,4,5,5,3,5,2,4,3,DNF,39,5
CAN,8698,Chris Fowler,Steve Yates,,4,6,7,7,5,2,4,5,2,3,39,6
CAN,7796,Debbie Ashby,David Adams,,5,7,5,5,7,7,5,5,5,8,52,7
