S,ail,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,,,Pointd,Pos
USA,8627,Tim Collins,Bill Smith,,2,1,1,1,21 DNF*,1,7,1,  USA RI BRISTOL,,14,1
CAN,8264,Jeff Boyd,Martin Ten Hove,,1,2,2,3,1,2,3,4*,  CAN ON KINGSTON,KINGSTON YC,14,2
USA,8012,Henry Amthor,Douglas Amthor,,3,5,5,2,3,5,11*,2,  USA VA HAMPTON,HAMPTON YC,25,3
USA,8194,Thomas Kivney,Todd Johnson,,6,4,3,4,2,8,5,13*,  USA MA HINGHAM,HINGHAM YACHT CLUB,32,4
CAN,8442,Hugh Morrin,Michael Hoffman,,4,10*,6,5,6,4,2,6,  CAN ON OTTAWA,BRITANNIA YC,33,5
USA,8438,Gord Mcilquham,Bob Turcke,,8,3,4,6,4,6,6,10*,  CAN ON KINGSTON,KINGSTON YC,37,6
USA,8024,David Chatham,Chris Junge,,5,12*,7,7,7,3,9,9,  USA RI NEWPORT,ST FRANCIS YC,47,7
CAN,6910,Ron Hughes,John Bryant,,11,7,15*,11,11,7,4,3,  CAN ON OTTAWA,NEPEAN SAILCLUB,54,8
USA,7685,Graham Alexander,Nathan Brown,,10,9,12,13*,8,10,8,5,  USA OH BLACKLICK,HOOVER YC,62,9
CAN,7605,Renka Gesing,Adam Gesing,,12,13,10,8,5,17*,14,7,  CAN ONT WINDSOR,SOUTH PORT SAILING CLUB,69,10
CAN,8233,Francois Bertrand,Alain Molimard,,7,8,8,14,15*,11,13,11,  CAN PQ ANJOU,CLUB NAUTIQUE DEUX MONTAGNE,72,11
CAN,8698,Stephen Yates,Ian Torrie,,13,16,14,21 DNF*,21 DNF,9,1,8,  CAN ONT KINGSTON,KINGSTON YACHT CLUB,82,12
USA,8018,Stergios Papadakis,Ian Hill,,9,11,18*,16,10,16,12,12,  CAN NJ PRINCETON,,86,13
USA,8191,Macy Nelson,Nick Nelson,,14,6,11,10,9,21 DNF*,21 DNF,21 DNF,  USA MD BALTIMORE,WEST RIVER SAILING CLUB,92,14
USA,7879,Clayton James,,,19*,17,17,12,13,13,10,14,  USA VA SOUTH RIDING,,96,15
USA,8624,David Stetson,Justin Kitney,,18,19*,9,17,12,14,16,16,  USA OH COLUMBUS,HOOVER YC,102,16
CAN,7796,Deb Ashby,David Adams,,16,18*,16,15,16,12,15,15,  CAN ONT OTTAWA,BRITANIA YC,105,17
USA,8600,Ki Kaiser,John Badtke,,15,15,13,9,14,21 DNF*,21 DNF,21 DNF,  USA IL LAKE FOREST,WAUKEGAN YC,108,18
USA,6660,Geoff Cashman,Barrett Rhodes,,17,14,19,21 DNF*,21 DNF,15,17,17,  USA IN COLUMBUS,INDIANA UNIVERSITY YC,120,19
USA,7793,Dave Seiple,Geoff Schaefer,,20,20,20,21 DNF*,21 DNF,18,18,18,  USA OH HILLIARD,LEATHERLIPS YC,135,20
