Nation,Sail NO,SKIPPER,CREW,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,Drop,Points,Place
CAN,7605,Renka Gesing,Adam Gesing,,4,1,3,DNF 9 *,1,1,1,2,3,24,9,15,1
CAN,8442,Deborah Ashby,Michael Hoffman,,1,2,1,4,5*,2,3,1,4,22.25,5,17.25,2
CAN,6833,Geoff Fernie,Phil Wilcox/Mike Agrell,,6*,5,5,3,2,3,2,4,1,30.75,6,24.75,3
CAN,8264,Rob Braden,David Adams,,2,3,4,2,3,6*,4,5,2,31,6,41,4
CAN,8*,Marek Baliński,,,3,7,7,6,DNS 9 *,4,6,3,5,50,9,42,5
CAN,3944,Angus Ross,Jim MacLachlan,,5,6*,6,5,4,5,5,6,6,48,6,49.75,6
CAN,5080,Michael Agrell,Kristy Agrell,,7,4,2,1,DNS 9 *,DNS,DNS,DNS,DNS,58.75,9,49.75,7
CAN,7951,Milan,Milan,,8*,8,8,7,6,7,7,7,7,65,8,57,8
