Nation,Boat No,Helmname,CrewName,Club,Race 1,Race 2,Race 3,Total,Nett,Rank
FIN,8927,Kaj Lindfors,Johan Halonen,Airisto Segelsällskap (ASS),1,1,1,3,3,1st
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,2,2,4,8,8,2nd
FIN,9069,Rosemarie Hartman,Tuomas Laurila,Merenkävijät,4,3,2,9,9,3rd
FIN,8768,Jukka Nieminen,Joonatan Hollmén,SP,3,5,5,13,13,4th
FIN,8127,Thomas Held,Juha Nurmela,BSS/V-71,9.0 DNF,4,3,16,16,5th
FIN,8466,Hannu Pöyry,Tuomas Ebeling,VVK,5,6,7,18,18,6th
FIN,8352,Kari Lehtonen,Timo Vennonen,HSK,6,7,6,19,19,7th
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,9.0 DNC,9.0 DNC,9.0 DNC,27,27,8th
