Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
SWE,8655,Krister Bergström,Thomas Moss,G.K.S.S.,DNF,5,1,1,1,1,1,2,7,1
GER,8670,Martin Goerge,Rainer Goerge,T.S.V.S.,1,3,3,4,2,2,25,DNF,15,2
GBR,8773,Simon Payne,Bill Masterman,HAYLING ISLAND S.C.,OCS,2,5,3,29,5,9,1,25,3
GBR,8774,Ian Pinnell,Steve Hunt,HAYLING ISLAND S.C.,2,4,8,6,10,4,23,DNF,34,4
GER,8769,Stefan Boehm,Gerald Roos,S.C.V. ERFTSTANDT,6,19,12,18,8,3,2,4,35,5
GBR,8787,Christian Diebitsch,Terry Scutcher,SHOTLEY S.C.,5,25,2,9,5,6,8,11,35,6
GER,8742,Stefan Koechlin,Axel Priegann,S.K.F.,11,6,4,7,3,8,14,7,35,7
GER,8632,Christian Kellner,Klaus Stammerjohann,H.S.C.,4,1,6,14,11,16,4,10,36,8
GBR,8734,Ian Howarth,James Grant,HAYLING ISLAND S.C.,22,7,7,8,23,7,6,3,38,9
GER,8376,Niediek Volker,Stefan Heising,B.S.V.,30,11,10,5,4,DNF,12,18,60,10
GER,8720,Dirk Filimonrow,Lars Stoeckraumann,B.S.V.,16,8,9,2,17,12,DNF,DNF,64,11
GBR,8555,David Smithwhite,Neil Fulcher,HAYLING ISLAND S.C.,27,12,25,26,6,13,10,5,71,12
GER,8675,Goerge Volker,Karsten Morf,T.S.V.S.,29,33,22,25,7,9,3,6,72,13
GER,8744,H. Rix Hans,Stefan Achenbach,T.S.V.S.,8,15,13,23,26,15,5,16,72,14
GER,8580,Michael Seeger,Andreas Achterberg,D.T.Y.C.,24,21,14,11,24,11,11,12,80,15
GER,8619,Jens Findel,Johannes Tellen,S.V.G.,13,17,17,10,15,20,15,DNF,87,16
FRA,8802,Fabrice Toupet,Pierre-Jean Gallo,C.N. L'ESTUAIRE,19,18,19,30,14,10,19,9,89,17
DEN,8807,Tom Boyland,Jacob Karbg,F.A.S.,12,22,30,12,9,25,26,13,93,18
SWE,8719,Jakob Lindvall,Kalle Byrenius,N.S.S.,9,27,32,37,13,14,16,17,96,19
SUI,8569,Rene Betschen,Patrick Ducommun,C.N. BERAIX,18,13,20,32,21,DNF,7,19,98,20
AUS,8280,Michael Quirk,Norman Rydge,MIDDLE HARBOUR Y.C.,3,23,18,24,30,17,22,24,107,21
GER,8665,B.P. Schlomka,Martin Schoeler,T.S.V.S.,21,20,11,20,20,22,DNF,22,114,22
SUI,8729,Ueli Marti,Philippe Jacot,NAUTIQUE BEVAIX,15,14,DNF,16,36,26,DNF,8,115,23
GER,8633,Frieder Achterberg,Wolfgang Stueckl,D.T.Y.C.,25,29,26,17,16,19,18,20,115,24
GBR,8495,David Peacock,Chris Hewitin,BURTON S.C.,23,16,23,19,19,18,24,21,116,25
SWE,8775,Rosen Ebbe,Olle Wenrup,M.K.S.,7,10,21,38,22,DNF,20,DNF,118,26
GER,8661,Diethardt Freye,Michael Kluegel,B.S.V.,10,9,16,41,27,DNF,17,DNF,120,27
GER,8505,Adalbert Kluck,Gerhard Schmidt,T.S.V.S.,32,36,24,27,18,23,13,15,120,28
GER,8686,Nicolai Voelckner,Lars Dehne,H.S.C.,26,26,27,45,12,DNF,29,14,134,29
SWE,8232,Lars Stugemo,Bo Ringdahl,M.K.S.,14,34,15,28,31,21,32,DNF,141,30
GER,8777,Stefan Schollmayer,Frisco Sanguino,S.C. MAINSPITZE,31,28,33,15,28,27,21,23,142,31
FRA,8565,Valleteau de Moulliac,Frederic Roucayrol,S.N. B ANDOL,17,30,37,22,33,31,27,29,156,32
FRA,8521,Luis Guibbal Lean,Matthieu Guibbal,C.T.V. PARELOUP,36,24,31,31,32,29,31,26,172,33
GER,8519,Robert Wisolek,Thorsten Koch,S.C.L.W.,20,32,36,13,41,DNF,33,DNF,175,34
GBR,8745,Chris Pearson,Frank Rainsborough,ROYAL THAMES Y.C.,28,37,34,21,40,24,DNF,DNF,184,35
GER,8567,Joerg Detmoll,Holger Neuhaus,S.H.C. HATTINGEN,33,39,38,36,35,28,34,25,191,36
GER,8465,Kliba-Schmidt Petra,Rolf Schmidt Jan,S.K.W.B.,34,31,29,42,39,DNS,30,28,191,37
GBR,8705,Ian Dunn,J. Lake Simon,HAYLING ISLAND S.C.,OCS,38,28,29,25,DNF,28,DNF,194,38
GER,8385,Martin Bernauer,Ulf Geißler,C.N.F.T.,37,42,42,39,34,30,36,30,206,39
FRA,8704,Christian Martenot,Thilb. Di Pede,C.V. SEINE PORT,38,41,35,34,37,32,38,32,208,40
GBR,8678,Tim Berry,David Barnes,CHEW VALLEY LAKE,39,40,43,40,38,33,37,27,214,41
GER,8530,Alexander Mertens,Angela Stenger,MUENCHENER Y.C.,40,43,41,35,DNF,DNF,35,31,225,42
GBR,8435,Patrick Mc Gale,Paul Molesworth,QUEEN MARY S.C.,42,45,44,44,42,34,39,33,234,43
GER,8412,Autje Paulsen,Ole Paulsen,B.S.V.,41,44,40,33,DNF,DNF,40,DNF,244,44
FRA,8771,Gilbert Vinches,Briffoteaux,C.V. S.QENTIN,35,35,39,43,DNF,DNF,DNF,DNF,244,45
