Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,Place
GER,8871,Dan Ginther,,DOOFLICKER,1,[3],1,1,1,1,1,2,1,9,1
USA,88*,Paul Von Grey,,Paul,[3],2,3,2,2,3,2,3,3,20,2
USA,7206,Pittack Christian,,Watery Tart,7/DNS*,7/DNS,2,4,3,2,3,1,2,24,3
USA,8*,Erik Coburn,,Strongbow,2,1,4,3,4,4,4,4,7/DNF*,26,4
USA,8829,Bob Conrad,,Cat String,7/DNS*,4,5,5,5,5,7/DNC,7/DNS,7/DNS,45,5
USA,6935,Christopher Hubbard,,US 6935,7/DNS*,5,6,7/DNS,7/DNS,6,7/DNC,7/DNS,7/DNS,52,6
