Nation,Sail  ,Skipper,Crew,Yacht Club,1,2,3,4,5,6,7,8,9,10,Boat  ,Total,Pos
USA,8808,Augie Diaz   ,,Coral Reef Yacht Club  ,1,1,[2]  ,1,1,2,2,1,1,1,Danilu  ,11,1
USA,9005,Tyler Moore   ,,HYC/WYC/CYC  ,[5]  ,3,1,4,2,1,1,2,2,3,Jane Says  ,19,2
USA,8830,Andrew Buttner   ,,SCYC  ,2,[7]  ,3,3,4,6,4,3,5,2,Kokatat  ,32,3
USA,7346,Craig Thompson   ,,None  ,3,5,[7]  ,2,3,7,6,4,4,4,None  ,38,4
USA,8767,Ben Greenfield   ,,Saunderstown Yacht Club  ,[8]  ,4,4,5,5,8,8,6,7,7,The Grey  ,54,5
USA,8194,Thomas Kivney   ,,Hingham Yacht Club  ,6,6,6,6,[7]  ,5,7,7,6,6,Katiebear  ,55,6
USA,9007,Matthew Barry   ,,YCYC  ,[13/DNC]  ,13/DNC  ,13/DNC  ,13/DNC  ,8,3,3,5,3,5,License to Kill  ,66,7
USA,8821,Michael Komar   ,,Newport  ,7,8,5,[13/DNF]  ,10,4,5,13/DNF  ,8,9,  ,69,8
USA,8939,Nate Rosenberg   ,,St. Thomas Yacht Club  ,9,9,[13/DNS]  ,13/DNS  ,9,9,13/DNS  ,13/DNS  ,9,8,  ,92,9
USA,6985,Michael Breton   ,,Sail Newport  ,4,2,[13/DNS]  ,13/DNS  ,13/DNC  ,13/DNC  ,13/DNC  ,13/DNC  ,13/DNC  ,13/DNC  ,No Surrender  ,97,10
USA,8013,Jonathan Wenderoth   ,,MRMSA  ,[13/DNC]  ,13/DNC  ,8,7,6,13/DNF  ,13/DNS  ,13/DNS  ,13/DNC  ,13/DNC  ,  ,99,11
USA,7685,Will Platt   ,,Pettipaug  ,[13/DNC]  ,13/DNF  ,13/DNS  ,13/DNS  ,13/DNC  ,13/DNS  ,13/DNF  ,13/DNF  ,13/DNC  ,13/DNC  ,Boat  ,117,12
