Country,Sail Nb.,Name,,,,,Kalovig
GBR,8552,Upton-Brown Mark,,,,,1
FRA,8402,Boite Philippe,,,,,2
GBR,8677,Pinnell Ian,,,,,3
GER,8623,Bohm Stefan,,,,,4
GER,8634,Thumann Jörg,,,,,5
GER,8460,Goult Martin,,,,,6
GER,8567,Detmold Jorg,,,,,7
GER,8542,Swift Tom,,,,,8
GER,8663,Plessmann Ulf,,,,,9
GBR,8495,Peacock David,,,,,10
GBR,8592,Lovesy Paul,,,,,11
FRA,8684,Gallo Pierre Jean,,,,,12
DEN,8620,Saugmann Jan,,,,,13
SUI,8426,Pluss Marcel,,,,,14
DEN,8675,Fredsted Rasmus,,,,,15
GER,8642,Schollmayer Stefan ,,,,,16
SUI,8459,Stolz Caroline,,,,,17
GER,8686,Völckner Nicolai,,,,,18
GER,8649,Roos Ronald,,,,,19
FRA,8431,Druart Hervé,,,,,20
GER,8392,Seikel Martin ,,,,,21
GBR,8556,Tew Richard,,,,,22
GER,8539,Ziems Olivier,,,,,23
GER,8590,Köchlin Stefan,,,,,24
FRA,8455,Buffet Marcel,,,,,25
BEL,8463,Van Hemeldonck Emie,,,,,26
