Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
USA,7358,Jeff Braun,Bill Kenney,,,,,,,,,,1
USA,7100,Neal Fowler,Mark Lindsay,,,,,,,,,,2
USA,,Gary Bodie,Duncan Skinner,,,,,,,,,,3
