Country,Sail #,Skipper,,Club,R1,R2,R3,R4,R5,Boat Name,Pts.,os.
USA,7096,Allan Staley,,Astoria YC,1,2,1,1,DNS,Punishment Pony,5,1st
USA,8763,Peter Tuck,,VLSC,4,1,2,3,DNS,Kryptonite,10,2nd
USA,8453,Stuart Sinclair,,Astoria YC,2,3,DNF,2,DNS,Moon,11,3rd
CAN,8191,Mike,Kevin Campbell,Astoria YC,3,4,3,4,DNS,Quandray,14,4th
