Nation,oat NO,helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Poinst,Place
GBR,0,John Loveday,Lewis Dann,,1,1,1,2,2,5,,1
GBR,0,Hugh Bourn,Pusinelli,,3,11,11,3,3,1,,2
FRA,0,Marcel Buffet,Thierry Moreau-Defarges,,13,12,5,4,7,2,,3
SWE,0,Göran Eckeström,Jan Calvert,,2,6,9,21,6,8,,4
,0,Claudel,Claudel,,,,,,,,,5
,0,,,,,,,,,,,6
,0,,,,,,,,,,,7
,0,,,,,,,,,,,8
,0,,,,,,,,,,,9
,0,,,,,,,,,,,10
,0,,,,,,,,,,,11
,0,,,,,,,,,,,12
,0,,,,,,,,,,,13
,0,,,,,,,,,,,14
,0,,,,,,,,,,,15
,0,,,,,,,,,,,16
,0,,,,,,,,,,,17
,0,,,,,,,,,,,18
,0,,,,,,,,,,,19
,0,,,,,,,,,,,20
,0,,,,,,,,,,,21
,0,,,,,,,,,,,22
,0,,,,,,,,,,,23
SWE,0,Thomas Rudewald,Martin Uulas,,,,,,,,,24
SWE,0,Krister Bergström,Martin Bergström,,,,,,,,,25
,0,,,,,,,,,,,26
,0,,,,,,,,,,,27
,0,,,,,,,,,,,28
,0,,,,,,,,,,,29
,0,,,,,,,,,,,30
SWE,0,Lars Bertén,Tore Andersson,,,,,,,,,31
