e Identif,Concurrent, Helm,Crew,Club,Co. 1,Co. 2,Co. 3,Co. 4,Co. 5,Co. 6,Co. 7,Co. 8,Co. 9,Crew Club,Ret,Total,Plac
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,1,3,1,5*,2,3,1,1,1,CVSQ,13,18,1
GER,9182,Alexander Holzapfel,Finn Boeger,Allemagne,5,2,3,2,3,1,4,6*,2,,22,28,2
SUI,9147,Caroline Jacot,Philippe Jacot,Suisse,2,4,5,1,1,5,5,4,4,,26,31,3
GER,9169,Tim Böger,Markus Schöner,Allemagne,3,1,2,14,15,8,DPLi 5,2,3,,38,53,4
FRA,9081,Gilles Chapelin,Christian Chapelin,C V BORDEAUX C M,8,6,4,6,6,6,6,3,5,CVML,42,50,5
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,Y C ILE DE FRANCE,9,7,9,7,7,13,10,9,11,CVSQ,69,82,6
FRA,8733,Alexandre Demange,Charles-Antoine De Joux,S R ROCHELAISES,DPLi 14,5,DNF 34*,11,5,4,3,23,7,A S CHEMINOTS ROCH,72,106,7
FRA,8847,Bastian Le Morvan,Matthieu Gougeon,S N LARMOR PLAGE,7,10,13,12,11,16,8,7,8,Y C ILE DE FRANCE,76,92,8
FRA,9045,Herve De Kergariou,Tristan Le Jeune,CN ARRADON,15,15,12,3,8,7,7,12,13,SN BAIE ST MALO,77,92,9
BEL,8898,Bas Van Assche,Toon Van Assche,Belgique,6,8,10,16,13,10,14,10,10,,81,97,10
FRA,9218,Bertrand Commeil,Charles Commeil,S R ROCHELAISES,4,21,6,9,16,15,12,8,14,S R ROCHELAISES,84,105,11
FRA,8716,Aline Martin,Augustin Doumic,Y C ILE DE FRANCE,13,19,16,8,4,2,22,11,17,S N TRINITE S/MER,90,112,12
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,14,9,8,21,14,11,20,14,9,Y C ILE DE FRANCE,99,120,13
FRA,9031,Philippe Lucienne,Vivien Lucienne,S.R.C Sud-Oise,12,17,14,DPLi 18,12,12,13,21,15,S.R.C Sud-Oise,113,134,14
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASN QUIBERON,18,16,7,27,19,23,24,5,6,S N O NANTES,118,145,15
BEL,8613,Kim Van Assche,Lien Van Assche,Belgique,16,14,19,13,18,14,19,15,18,,127,146,16
FRA,9075,Loic Bleuez,Guillaume Henrio,Y C CANNES,24,18,11,10,24,24,17,16,12,,132,156,17
FRA,8895,Nicolas Michel,Laurent Michel,C V A N NANTES,19,13,15,17,21,18,21,19,16,C V A N NANTES,138,159,18
FRA,9175,Ludovic Roblin,Francois Caminade,AAN PORT-BLANC,17,11,21,4,22,22,18,25,%,YC Grenoble Chara.,140,174,19
FRA,9019,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,22," %"""," %""",20,9,9,9,17,20,A C D'ALSACE LORRAIN,140,174,20
FRA,9068,Francois De Lisle,Marc Desjuzeur,C N FERRET,10,12,20,23,17,21,&$+,18,24,C N RENNES,140,164,21
FRA,8729,Baptiste Lafortune,Jordane Lafortune,C V SEINE-PORT,25,22,17,19,10,19,23,20,22,C V SEINE-PORT,152,177,22
FRA,8950,Eric Quemard,Antoine Victor,Y C ILE DE FRANCE,23,20,18,22,23,25,32,22,26,Y C ILE DE FRANCE,179,211,23
FRA,8800,Claude Lafortune,Marine Delagrange,C V SEINE-PORT," %""",(!*," %""",18,20,17,26,24,23,C V SEINE-PORT,196,230,24
SUI,9060,Catherine Houriet,Gil Donze,Suisse,20,%,%,%,%,%,11,13,19,,199,233,25
FRA,7941,Pierre Yves Chene,Erwan Marrec,CNROSTIVIEC LOPERHET,26,23,22,30,28,27,30,27,25,CNROSTIVIEC LOPERHET,208,238,26
FRA,8869,Jean Jacques Granchamp,Emmanuel Boyer,C V BORDEAUX C M,21,%,%,25,)',20,15," %""",%,C V BORDEAUX C M,217,251,27
FRA,8614,Denis Morel,Matthieu Morel,C V JULLOUVILLE,27,%)," %""",&$+,25,26,25," %""",21,,219,253,28
FRA,8152,Eric Le Morvan,Axellle Pillain,C N HAUTE SEINE," %""",24,23,29,26,30,29," %""",%,BREST BRETAGNE NAUTI,229,263,29
FRA,321,Thierry Trompette,Tanguy Trompette,S N LARMOR PLAGE,28," %""",%,31,30,29,28,26,%),S N LARMOR PLAGE,240,274,30
FRA,8734,David Teyssier,Frederic Morand,C V SANGUINET,DNF 34*,DNC 34,DNC 34,26,27,DNC 34,31,28," %""",C V SANGUINET,248,282,31
FRA,88471*,Robin Michel,Marin Michel,S N LARMOR PLAGE,DNF 34*,DNC 34,DNC 34,28,29,28,27,DNF 34,HTP 34,B N ILE GRANDE,248,282,32
FRA,9164,Sabine Dechauffour,Jacques Dechauffour,ASN QUIBERON,DNC 34*,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,ASN QUIBERON,272,306,
