Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8672,Christian Kellner,Klaus Stammerjohann,HSC,[4],1,3,1,1,10,6,1
GER,8670,Martin Görge,Rainer Görge,TSVS,3,3,1,2,[5],14,9,2
FRA,8802,Philippe Boite,Fabrice Toupet,CVM,1,[9],7,3,3,23,14,3
GER,8651,Claas Lehmann,Martin Schöler,NRV,2,2,4,[10],6,24,14,4
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,11,[14],2,4,2,33,19,5
FRA,8564,Laurent Haÿ,Pierre-Jean Gallo,YCIdF,[23],4,12,9,9,57,34,6
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,7,[19],5,5,19,55,36,7
GER,8769,Stefan Böhm,Gerald Roos,SCV,[17],8,15,12,4,56,39,8
GER,8580,Michael Seeger,Andréas Achterberg,DTYC,11,12,6,[16],13,58,42,9
FRA,8687,Francois Fischer,Jerom Delvaux,CVdP,13,13,8,[26],8,68,42,10
SUI,8569,René Betschen,Patrick Ducommun,CNB,14,18,[26],6,16,80,54,11
GER,8772,Ronald Roos,Gerd Linnemann,SVWu,[20],11,17,17,12,77,57,12
GER,8725,Ludger Huttermann,Rolf Meyer,PYC,[27],17,25,8,10,87,60,13
GER,8747,Jörgen Thumann,Oliver Stieglitz,TuSJ,18,5,22,[50],20,115,65,14
GER,8675,Volker Görge,Marlies Endjer,TSVS,22,23,9,[39],11,104,65,15
GER,8567,Michael Rössler,Holger Neuhaus,SKMD,18,20,21,]27],7,93,66,16
GER,8661,Diethardt Freye,Michael Klügel,BSV,29,7,[32],11,23,102,70,17
GBR,8701,Robert Napier,Matthew Bristow,HoL,31,10,11,19,[38],109,71,18
GER,8633,Sophie Söllner,Wolfgang Stückl,CYC,10,6,28,32,[29],105,73,19
GER,8777,Stefan Schollmayer,Franscisco Sanguino-Petersen,SCMSP,15,[31],16,24,25,111,80,20
GER,8750,Christian Müllejans,Karsten Morf,SVWu,[48],22,24,22,17,133,85,21
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CNS,[42],15,20,23,31,131,89,22
FRA,8716,Christian Silvestre,Christian Vallaud,CVB,[37],29,23,14,24,127,90,23
GER,8686,Nicolai Völckner,Lars Derschotte Dehne,HSC,[43],16,33,7,36,135,92,24
SUI,8729,Florian Stauffer,Philippe Jacot,CVN,18,[DNC 60],35,15,27,155,95,25
GER,8642,Thoralf Greger,Tobias Quadfaß,ASVG,[41],30,34,13,21,139,98,26
FRA,8484,Philippe Blanchard,Carole Blattner,ACAL,[41],40,19,21,18,139,98,27
GER,8711,Carsten Engel,Tobias Neumeyer,PSVK,21,21,30,[37],26,135,98,28
FRA,8695,Jean-Guy Puissant,Laurent Camusson,ANPESA,32,27,18,[42],22,141,99,29
GER,8376,Volker Niediek,Stefan Heising,BSV,9,[DNC 60],14,20,DNC 60,163,103,30
FRA,8676,Marcel Buffet,Antoine Victor,CVP,34,32,10,[35],28,139,104,31
DEN,8440,Per Larsen,Henrik Andersen,Farum,8,24,13,[DNC 60],DNC 60,165,105,32
FRA,688,Véronique Dousselin,Jean-Pierre Peter,ACAL,42,[43],31,18,14,148,105,33
GER,8621,Stephan Schweiger,Johannes Schmederer,SCLW,24,28,[36],33,32,153,117,34
FRA,8402,Bertrand Commeil,Thierry Buand,,30,35,37,[44],21,167,123,35
SUI,8079,Lorenz Nydegger,Martin Nydegger,SCB,16,36,[46],31,43,172,126,36
