Nation,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
FRA,8705,Jean-Baptiste Dupont,Christian Vallaud,,2,1,1,2,2,1,,1
FRA,8491,Frédéric Véroul,Sebastien Huet,,,,,,,,,2
FRA,8188,Phillipe le Norment,Jean-Jacques Vé­roul,,,,,,,,,3
FRA,8676,Marcel Buffet,Régis Dupérrier,,,,,,,,,4
FRA,8696,Jean-Guy Puis­sant,Thomas Puis­sant,,,,,,,,,5
FRA,8603,Jean-Philippe Chartier,Matthieu Chartier,,,,,,,,,6
