Nation,Boat NO,Helm,Crew,Club,,Points,Place
FRA,8445,Nicolas Martin,Thibault Di Pède,CV Seine Port,,5,1
FRA,8705,Jean-Baptiste Dupont,Christian Vallaud,CV Paris,,14,2
FRA,8566,Olivier Thiberge,Bastien Douce,CV Paris,,15,3
FRA,8427,Nicolas des Jamonières,Laurent Cottenet,CVML,,16,4
FRA,8733,Michel Boiry,Romain Eliot,CV Paris,,23,5
FRA,8199,Roger Cha­baud,,CV Valenciennes,,25,6
FRA,7492,Eric Quémard,Nicolas Picquerey,CV Paris,,30,7
FRA,8486,Mathieu Gou­geon,Loïc Genoni,CV Paris,,43,8
