Nation,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,,Points,Place
FRA,,Robert Fossard,Philippe Markt,,[5],1,1,2,,4,1
FRA,,Marcel Buffet,Rossignol,,[2],2,2,1,,5,2
FRA,,Jean-Louis Guiaball,Jean Guiaball,,1,[11],3,5,,9,3
FRA,,Jean-Philippe Chartier,Mathieu Chartier,,3,[6],4,6,,13,4
FRA,,Bernard Dugrip,Barbara Dugrip,,[8],4,5,4,,13,5
FRA,,Pierre Guiball,Fouilland,,6,[OCS],6,3,,15,6
FRA,,Roucayrol,Bonnet,,4,5,[7],7,,16,7
FRA,,Schwebel,Colette Fabre,,7,3,[9],8,,18,8
FRA,,Jullian,Aurejac,,[10],7,10,9,,26,9
FRA,,Patrick Delmur,Paul-Henri Delmur,,,,,,,,10
