Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Crew Club,Points,Total,Place
FRA,8705,Dupont Jean-Baptiste,Christian Vallaud,Cer­cle Voile Paris,,,,USAM Brest,2,4,1
FRA,8427,Nicolas des Jamonières,Jean-Philippe Ducros,CVML,,,,CVML,4,7,2
FRA,,François de Lisle,Hervé Brillaud,Cercle de Voile Pyla sur Mer,,,,Cercle Nautique du Ferret,4,8,3
FRA,,Michel Boiry,Pierre Lecorgne,Cercle Voile Paris,,,,CN Viry Chatillon,7,12,4
FRA,,Roland de Wilde,Géraud Beaufrère,CVML,,,,CVML,9,14,5
