FRA,,Coureurs / Équipage,,club,Pts CNI,,,,,points,place
FRA,8802,Boite Philippe,Di Pede Thibault,C V DE MEAUX,1,2,1,1,1,4,1
FRA,,Ravet David,Loyal Bertrand,S R ROCHELAISES,3,1,3,2,2,8,2
FRA,,Juin Franck,Gallo Pierre Jean,C V PYLA S/M,2,3,2,OCS,5,12,3
FRA,,Biche Olivier,Ludovic Roblin,C N ROCHEFORTAIS,27,9,4,4,3,20,4
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,9,4,14,3,8,24,5
FRA,,Commeil Bertrand,Thierry Buand,S R ROCHELAISES,5,12,7,9,4,25,6
SUI,,Stauffer Florian,Jalot Philippe,,4,6,10,12,6,26,7
FRA,,Dupont Jean Baptiste,Vallaud Christian,CV PARIS,7,7,8,13,12,34,8
FRA,,Nigon Erik,Jouany Marc,S R ROCHELAISES,6,10,6,OCS,13,35,9
FRA,,Bleuez Loic,Roucayrol Frederic,Club Var Mer,DNF,8,11,7,10,36,10
FRA,,Silvestre Christian,Le Mauguen Gael,CVSQ,12,5,5,OCS,16,38,11
FRA,,Muh Pierre,Keraudrenv Dominique,C.N. VIRY CHATILLON,15,14,9,5,14,42,12
FRA,,Nouraud Daniel,Troger Christophe,S R ROCHELAISES,8,13,17,15,9,45,13
FRA,,Vinches Gilbert,Viateur Regis,CVSQ,19,11,20,10,7,47,14
FRA,,Fossard Robert,Bonnet Michel,S N BANDOL,14,17,15,6,18,52,15
FRA,,Guibbal Pierre,Simon Chartier,C Y V PARELOUP,11,18,21,8,19,56,16
FRA,,Frédéric Veroul,Huet Sebastien,C N VASSIVIERE,13,19,13,14,17,57,17
FRA,,Chartier Jean Philippe,Thomas Chartier,C Y V PARELOUP,10,22,19,20,15,64,18
FRA,,François Gautier,Thibaud Cyril,S R ROCHELAISES,16,21,16,11,DPI,64,19
FRA,,Guibbal Jean Louis,Guibbal Jean,C Y V PARELOUP,17,20,12,19,21,68,20
FRA,,Xavier Lacombe,Troger Philippe,S R ROCHELAISES,DSQ,16,22,DPI,11,73,21
FRA,,Martenot Christian,Lafortune Marie,C V SEINE-PORT,18,28,18,17,20,73,22
FRA,,François de Lisle,Brillaud Herve,C V PYLA S/M,23,15,23,22,28,83,23
FRA,,Raguet Jacques,Larat Andre,C V BORDEAUX C M,22,24,24,16,23,85,24
FRA,,Boiry Michel,Ancelot Jean Claude,CV PARIS,21,25,26,18,26,90,25
FRA,,Guezennec Herve,Thiberge Olivier,NPB,20,27,28,23,24,94,26
FRA,,Carvallo Gilles,Laugerotte Michel,C N HAUTE SEINE,24,23,25,25,27,97,27
FRA,,Bernard Dugrip,Bradfer Philippe,C Y V PARELOUP,29,26,27,24,25,102,28
FRA,,Malaret Guy,Malaret Emmanuel,C N MAUZACOIS,25,30,29,27,29,110,29
FRA,,Di Crescenzo Gilles,Jean-Pierre Blache,B N O,26,29,31,28,DNC,114,30
FRA,,Danckaert Thierry,Du Chayla Philippe,C V BORDEAUX C M,28,31,30,26,30,114,31
FRA,,Jullian Pascal,Denuwelaere Patrick,C Y V PARELOUP,30,DNF,DNF,DNC,31,129,32
FRA,,Schwebel Eric,Fabre Colette,C Y V PARELOUP,DSQ,DNF,DNF,DNC,DNF,136,DNA
