FRA,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,points,place
FRA,,Jean-Baptiste Dupont,Vallaud Christian,CV PARIS,1,1,2,2,1
FRA,,Des Jamonieres Nicolas,Ducros Jean Philippe,CVML,3,3,1,4,2
FRA,,François de Lisle,Brillaud Herve,C V PYLA S/M,2,2,4,4,3
FRA,,Boiry Michel,Lecorgne Pierre,CV PARIS,5,4,3,7,4
FRA,,Roland Wilde,Beaufrere Geraud,CVML,4,5,5,9,5
