Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2",Brutto,Netto,Place
FRA,8484,"Philippe Blanchard","Carole Blattner",ACAL,3,1,4,4,1
GER,8772,"Ronald Roos","Kirsten Roos",SVWu,4,2,6,6,2
GER,8539,"Hendrik Schultz","Etienne Portelance",SCLW,6,4,10,10,3
FRA,8541,"Francis Doerenbecher","Aubin Doerenbecher",CNS,5,5,10,10,4
FRA,7941,"Veronique Dousselin","Jean-Pierre Peter",ACAL,8,3,11,11,5
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,2,1,3,3,6
GER,8327,"Dirk Frank","Stefan Kempf",SCS,7,8,15,15,7
GER,8691,"Günther Böckle","Frank Heimburger",SSCM,"RDG 18",9,27,27,8
FRA,8676,"Marcel Buffet","Antoine Victor",CVP,1,"OCS 18",19,19,9
FRA,8820,"Robert Lehmann","Bernard Edel",ACAL,13,7,20,20,10
GER,8769,"Gerald Roos","Stephanie Roos",,10,11,21,21,11
FRA,8484,"Jean-Marc Paquotte","Alain Beltzung",,"OCS 18",6,24,24,12
FRA,8688,"Bernard Blondy","Roger Chabaud",CVA,12,12,24,24,13
FRA,8705,"Jean-Baptiste Dupont","Maxime Picard",AS,11,15,26,26,14
GER,8424,"Claus-Michael Lehr","Christine Schaal-Lehr",SCNS,15,13,28,28,15
GER,8450,"Jürgen Feuerhake","Alfred Kempf",YCSb,14,14,28,28,16
FRA,8301,"Benoit Blaison","Erwan Dufumier",,"DNC 18",18,36,36,17
