Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points Total,Points Netto,Place
FRA,8564,Laurent Haÿ,Pierre-Jean Gallo,YCIdF,1,1,1,[4],7,3,1
GBR,8774,Ian Pinnell,Stephen Hunt,GWSC,2,[4],3,1,10,6,2
FRA,8515,Serge Gubri,Thibault Di Pède,JMIAM,5,[6],2,2,15,9,3
FRA,8802,Philippe Boite,Fabrice Toupet,CVM,3,3,[4],3,13,9,4
FRA,8695,Jean-Guy Puissant,Laurent Camusson,ANPESA,4,2,[5],5,16,11,5
FRA,8484,Philippe Blanchard,Carole Blattner,ACAL,[11],7,8,8,34,23,6
GER,8716,Hendrik Schultz,Christian Silvestre,SCLW,13,5,[OCS 33],6,57,24,7
FRA,8509,Denis Muh,Dominique Keraudren,CNDVC,9,9,[10],7,35,25,8
GBR,8678,Jim Berry,Charles Walters,CVSC,10,[11],7,14,42,28,9
FRA,8709,Jean-Baptiste Dupont,Christian Vallaud,AS,6,8,15,[18],47,29,10
FRA,8742,Philippe Noclain,Jean-Pierre Noclain,CVA,7,17,[30],13,67,37,11
FRA,8770,Jean-Marc Noclain,Lionel Lesoil,CVA,14,10,14,[19],57,38,12
FRA,8623,Eric Brun,Dominique Rouanne,YCCav,15,14,[20],10,59,39,13
FRA,8676,Marcel Buffet,Antoine Victor,CVP,8,[21],16,16,61,40,14
FRA,8688,Bernard Blondy,Roger Chabaud,CVA,16,12,[28],12,68,40,15
FRA,8456,Jean-Pierre Di Pède,Guy Lafortune,CVSP,21,15,9,[23],68,45,16
GER,8450,Jürgen Feuerhake,Alexander von Mertens,YCSb,12,16,17,[20],65,45,17
BEL,8553,Paul Gorremans,Marie-Pierre Gorremans,VVWA,[DNC 33],DNC 33,6,11,83,50,18
FRA,8733,Michel Boiry,Jean-Claude Ancelot,CVP,17,13,21,[26],77,51,19
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CNS,[DNC 33],DNC 33,11,9,86,53,20
FRA,8761,Marc Riot,Jean-Philippe Ducros,CNVC,[DNC 33],DNC 33,12,15,93,60,21
FRA,8748,Muriel Jeanne,Gilles Carvallo,CNHS,[22],19,19,22,82,60,22
FRA,7709,Pascal Aublet,Celine Aublet,CNDP,[DNC 33],DNC 33,13,17,96,63,23
FRA,8704,Christian Martenot,Marie Lafortune,CVSP,18,24,[27],21,90,63,24
FRA,7711,Benoit Gaurier,Julien Lafortune,CNA,23,22,18,[31],94,63,25
FRA,8427,Nicolas des Jamonières,Laurent Baril,CVML,20,20,23,[24],87,63,26
FRA,8133,François de Lisle,Hervé Brillaud,CVP,19,18,29,[30],96,66,27
FRA,7492,Eric Quémard,Nicolas Picquerey,CVP,24,23,24,[27],98,71,28
FRA,8436,Samuel Carvallo,Michel Laugerotte,CNHS,[DNC 33],DNC 33,22,25,113,80,29
FRA,8276,Geraud Lafortune,Antoine Lafortune,CVSP,[DNC 33],DNC 33,25,28,119,86,30
FRA,8461,Laurent Bernadac,Jean-Baptiste Appriou,CNDS,[DNC 33],DNC 33,26,29,121,88,31
FRA,8496,Charles Frigaux,Julien Godinot,YCD,[DNC 33],DNC 33,31,32,129,96,32
