Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total,Points,Place
FRA,8742,Philippe Noclain,Jean-Pierre Noclain,,3,1,[4],2,10,6,1
FRA,8688,Bernard Blondy,Roger Chabaud,,2,2,2,[3],9,6,2
FRA,8770,Philippe Raucent,Chevalier Raucent,,[4],3,3,1,11,7,3
FRA,,Eric Berrezay,Anna Lang,,[5],4,1,4,14,9,4
FRA,,Jean-Marc Noclain,Christophe Coupez,,1,5,7,[9 DNF],22,13,5
FRA,,S.Dehouve,L.Le Guern,,[7],6,5,5,23,16,6
FRA,,A.Cougnet,P.Dubois,,[8],7,6,6,27,19,7
FRA,,Y.Patfoort,Thierry Grislain.,,6,[9 DNF],9 DNF,9 DNF,33,24,8
