Nat,Sejlnr,Rorsmand,Gast - navn,Sejlklub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Nett,Rank
DEN,9062,Jørgen Bojsen Møller,Michael Wonterghem,Hellerup,(1.0),1.0,1.0,1.0,(3.0),1.0,1.0,1.0,1.0,1.0,12.0,8.0,1
DEN,8232,Jonas Christiansen,TBD,Hellerup sejlklub,2.0,(3.0),2.0,(3.0),1.0,2.0,2.0,2.0,2.0,3.0,22.0,16.0,2
DEN,8440,Mads Christiansen,Lars Skall Sørensen,AS,(5.0),2.0,3.0,2.0,2.0,(4.0),4.0,3.0,3.0,2.0,30.0,21.0,3
DEN,8472,rasmus norre andersen,lars henrik norre andersen,AAlborgsejlklub,3.0,(4.0),4.0,4.0,(5.0),3.0,3.0,4.0,4.0,4.0,38.0,29.0,4
DEN,9109,Hans Genefke,Finn Angelo,SAS,4.0,(6.0 DNC),5.0,5.0,4.0,(6.0 DNF),6.0 DNC,6.0 DNC,5.0,5.0,52.0,40.0,5
