,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
FRA,8870,Christian Silvestre,Aline Martin,CVB,16,1,1,2,1,,1
FRA,9031,Philippe Lucienne,Vivien Lucienne,SRDC,2,3,2,1,5,,2
BEL,9066,Geert De Pauw,Koen Jourquin,NWVN,4,4,5,7,4,,3
BEL,8742,Frederik Decocq,Gilles Bernon,SNEH,DNC,6,4,5,3,,4
GER,9054,Franziska Unkelbach,Lars Dehne,KYC,8,2,7,3,12,,5
BEL,7979,Luc Crets,Cedric Crets,,5,8,3,9,6,,6
BEL,9064,Didier Trine,Philippe Vandersteen,KYC,1,9,10,4,10,,7
FRA,8969,Jean-Pierre Noclain,Thomas Pype,CVV,9,5,6,6,9,,8
NED,8802,Frangois Hardy,Vincent Hardy,HZC,6,7,9,13,7,,9
BEL,8688,Bernard Blondy,Roger Chabaud,CVA,11,10,14,8,2,,10
BEL,7940,Gilbert Joskin,Paul Joskin,,3,12,12,10,11,,11
NED,8287,Mark Kalf,Mak Kalf,,7,11,8,12,14,,12
BEL,8275,Michael Teheux,Dominique Lambard,CNV,10,13,13,11,8,,13
BEL,8352,Benoît Raucent,Phillippe Chevelier,,13,14,11,14,15,,14
BEL,8215,Alain Mineur,Fabienne Boucau,,12,15,15,15,13,,15
