Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat Name,Points Total,Points Netto,Place
BEL,9066,Geert de Pauw,Jourquin Koen,,1,1,1,[2],1,2,1,,9,7,1
BEL,9064,Didier Trine,Philippe Vandersteen,,2,2,[9 DNF],3,3,3,2,,24,15,2
FRA,9031,Dereux O.,Jean-Christophe Plateaux,CNValencie,3,3,2,[4],4,4,3,,23,19,3
BEL,8742,Frédéric Decocq,Gilles Bernon,,[9 DNC],9 DNC,9 DNC,1,2,1,9 DNC,,40,31,4
BEL,6953,Devalkeneer,Vincent Eude,SNEH,[9 DNF],9 DNC,9 DNC,9 DNF,6,5,9 DNC,,56,47,5
BEL,8215,Alain Mineur,Fabienne Boucau,,[9 DNC],9 DNC,9 DNC,9 DNF,5,9 DNF,9 DNC,,59,50,6
BEL,7695,De Groof M.,Stilmant S.,Hofstade,[9 DNC],9 DNC,9 DNC,9 DNF,9 DNC,9 DNC,9 DNC,,63,54,7
FRA,8969,Thomas Pype,Romain Delmotte,,[9 DNF],9 DNC,9 DNC,9 DNC,9 DNC,9 DNC,9 DNC,,63,54,7
