Nation,Sail#,Skipper,Crew,Boat Name,Heat 1,Heat 2,Heat 3,Heat 4,Heat 5,Heat 6,Heat 7,Heat 8,Heat 9,Points,Points w/Drop,Place
AUS,8946,Sandy Higgins,Jordan Spencer,Hawaii Five O,2,1,1,4,4,2,1,1,31*,47,12,1
AUS,8644,Adrian Finglass,Sam Heritage,,3,6,2,7*,2,5,3,5,2,35,22,2
AUS,8840,Kevin Cameron,Matt Bowden,Alarm Innovations,4,4,5,1,9,11*,7,4,1,46,26,3
AUS,8853,Carter Jackson,David Page,FARM,6,3,3,5,1,4,19*,10,5,56,27,4
AUS,8796,Nick Deussen,Jonno Bannister,Fangin Hoons,20,31*,6,6,3,6,2,2,3,79,28,5
AUS,8280,Torvay Mirsky,Kyle Langford,SEA Gear,5,2,8,2,5,1,14*,14,6,57,29,6
AUS,8890,Malcolm Higgins,Nick Johnson,Groove Train,1,31*,4,10,6,7,5,3,4,71,30,7
AUS,8920,Michael Quirk,Simon Reffold,,8,5,9*,3,7,3,4,6,8,53,36,8
AUS,8185,Terry Scutcher,Pip Pearson,Earl Grey,9,8,7,9,13,9,21*,8,14,98,63,9
AUS,8877,Daniel Keys,Daryl Roos,Peoplebank,10,9,14,16,10,20*,8,7,10,104,68,10
AUS,8639,Robert Douglass,Shane Guanaria,Struggel,7,31*,15,19,12,8,10,9,11,122,72,11
AUS,8395,Paul Mitchell,Sam Haines,Timaay,12,31*,12,8,14,10,6,13,13,119,74,12
AUS,8648,Jeffrey Robinson,-,racingline.com.au,16,10,11,21*,17,15,11,11,16,128,90,13
AUS,8524,Rich Gallimore,Tom Woods Jnr,Fiveomagic,11,31*,31,12,11,13,9,18,19,155,93,14
AUS,8893,Wally Hewson,Greg Gardiner,racing line,14,11,31*,11,15,12,20,16,31,161,99,15
AUS,8710,Justin Mitchell,James Buree,Mitchell Sails,19,7,19,14,16,16,13,20,31*,155,104,16
AUS,8682,Richard Hyde,Federico,Go to Red,22,31*,13,13,19,21,12,15,15,161,108,17
AUS,8864,Hamish Jarrett,Chris Pearson,Primary Occupation,17,15,17,22,21,31*,18,21,7,169,116,18
AUS,8785,Ian Burford,Dave Christie,SS Cardsharks,31*,31,18,24,18,17,16,22,12,189,127,19
AUS,8277,Jamie Jochheim,John McLean,Pipeline Drillers,15,12,21,20,27*,23,17,26,20,181,128,20
AUS,8781,Earle Alexander,Ian Gregg,Alexander & Associate,18,31*,10,17,8,14,31,31,31,191,129,21
AUS,8783,Sarah Withall,Brendan Todd,Lucy Furr,24,31*,16,18,24,19,23,12,17,184,129,22
AUS,8638,Claus Ejlertsen,Mick Patrick/Ian Gregg,Funk Odysea,13,31*,31,23,31,31,15,17,9,201,139,23
AUS,8637,Sam Cronin,Kevin Whitebread,Blowflies,25*,18,22,15,23,22,24,19,21,189,140,24
AUS,8628,Peter Croft,Gary Rushton,Grumpy Old Men,21,19,23,26,29*,18,22,25,18,201,146,25
AUS,8602,Kym Campion,Charlie Longbottom,Makybe Diva,31*,17,20,25,20,24,25,24,31,217,155,26
AUS,8292,Mark Scrymgour,Rob Gilchrist,Zooom,26,16,31*,31,26,25,26,23,22,226,164,27
AUS,8498,Jonathan Ross,Ian Scholes,Alvin,31*,14,24,31,28,27,27,31,23,236,174,28
AUS,7982,Bill Wheatley,Geoff Smith,Hot Pursuit,23,13,31*,31,22,28,31,31,31,241,179,29
AUS,7983,Grahame Tindall,David Johnson,Absolutely Fugly,31*,31,31,31,25,26,28,27,24,254,192,30
