Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Poinst,Place
GBR,5384,John Loveday,Lewis Dann,OSC,1,1,1,2,2,5,6,1
GBR,5454,Hugh Bourn,Pusinelli,HLS,3,11,11,3,3,1,"34,1",2
FRA,5339,Marcel Buffet,Thierry Moreau-Defarges,CVP,13,12,5,4,7,2,52,3
SWE,5227,Göran Eckeström,Jan Calvert,,2,6,9,21,6,8,"55,4",4
FRA,5382,Bernard Claudel,Alain Claudel,YCC,,,,,,5,57,5
FRA,5464,Jean-Marie Daniélou,Nicolas Fédorenko,SRR,,,,,,,58,6
GBR,5369,Peter Bainbridge,Jamie Campbell,LTSC,,,,,,,58,7
DEN,4314,Dane West,Thielsen,,,,,,,,"64,4",8
FRA,4815,Philippe Blanchard,Jean Marc Blanchard,ACAL,,,,,,,"82,7",9
GER,5366,Dietz,Wiedemann,STS,,,,,,,86,10
SUI,5344,Fehlmann,Fehlmann,CNM,,,,,,,"88,8",11
SUI,4282,W. Müller,Hanspet Stutz,YCZ,,,,,,,91,12
FRA,5032,Bernard Reynier,François Dury,G NB,,,,,,,93,13
SUI,5273,Urs Scherrer,Blum,YCZ,,,,,,,"96,7",14
DEN,4409,Ringsted,Vejborg,,,,,,,,"102,7",15
GER,4966,Hampe,Jenssen,ETUF,,,,,,,106,16
GBR,4926,Michael Agrell,John Langley,MR SC,,,,,,,115,17
FRA,4915,François Fischer,Jacques Chouraki,CVP,,,,,,,118,18
GBR,4772,Brown,Meiklejohn,GWSC,,,,,,,124,19
FRA,5421,Hughes Lecerf,Gueulette,CNC,,,,,,,126,20
BEL,5307,Ronsmans,Ronsmans,ULYC,,,,,,,130,21
SUI,4819,Lucien Keller,Cardis,CNM,,,,,,,"140,7",22
GER,5035,Heck,Hotzen,YCS,,,,,,,142,23
SWE,3993,Thomas Rudewald,Martin Uulas,,,,,,,,144,24
SWE,4130,Krister Bergström,Martin Bergström,,6,,,,,,"147,7",25
FRA,4822,Jérôme Langlois,Philippe Sérane,CNC,,,,,,,151,26
SUI,4093,Muller,Wismer,YCZ,,,,,,,151,27
GBR,4870,Mike Lingwood,John Labbett,HSC,,,,,,,159,28
SUI,4636,Balmas,Balmas,CNM,,,,,,,162,29
FIN,5133,Nils Lagerström,Lars Lagerström,ESF,,,,,,,167,30
SWE,4398,Lars Berthén,Tore Andersson,,,,,,,,168,31
SUI,4911,Fehlmann,Pasche,CNM,,,,,,,170,32
FRA,5023,Charles Pillon,Patrick Conard,CVC,,,,,,,173,33
SUI,4225,U. Fehlmann,M. Fehlmann,YCZ,,,,,,,174,34
FRA,5405,Bruno Levesqus,Christian Robin,SNO,,,,,,,"176,6",35
GER,4733,Uwe Bremenkamp,Hans Peter Petersen,SCW,,,,,,,178,36
GER,5414,Petershon,Groß,DSCU,,,,,,,181,37
FRA,5393,Christian Maréchal,André Gerbet,SRR,,,,,,,185,38
DEN,5199,Ballegaard,Hersby,,,,,,,,199,39
FIN,4303,Jansson,Elving,N JK,,,,,,,202,40
FRA,5079,Alain Doloy,Alain Sage,CVP,,,,,,,211,41
FIN,3733,Markus Roschier,Roschier,WS,,,,,,,211,42
SUI,5298,Martin Ingold,Peter Neth,S KS,,,,,,,216,43
FIN,5134,Ehrnrooth,A. Backman,HSK,,,,,,,220,44
SWE,4315,Karl-Erik Nilsson,Flemming Nilausen,,,,,,,,226,45
GBR,4287,Agrell,Cox,GWSC,,,,,,,230,46
GBR,5030,Hitchin,Pitt,GWSC,,,,,,,238,47
GER,4930,Quellmalz,Pestalozzi,S SC,,,,,,,239,48
DEN,4401,Anderson,Thielsen,,,,,,,,243,49
FIN,5314,Tallberg,Sanstroem,HSK,,,,,,,244,50
GBR,4695,Thorton,Sweeting,ose,,,,,,,246,51
FIN,4309,Leeve,Wiio,HSK,,,,,,,248,52
GBR,4673,Dargue,Grande,GWSC,,,,,,,249,53
GER,4744,Ludigkeit,Regh,,,,,,,,265,54
GBR,4828,Barnes,Ingus,BD YC,,,,,,,274,55
GER,4979,Stending,Huber,HSC,,,,,,,277,56
FRA,4992,Léopold Leger,René Morch,CVVC,,,,,,,287,57
