Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat Name,Points Total,Points Netto,Place
USA,8856,Ethan Bixby,,St. Pete Sailing Center,1,1,1,3,1,1,[16 DNF],Science Project,24,8,1st
CAN,8821,Luke Strickland,,OHCC,2,[9],4,2,3,2,1,Mach 5,23,14,2nd
CAN,8696,Deborah Ashby,,Nepean SC,4,2,[6],5,5,6,4,Loose Unit,32,26,3rd
CAN,9186,Evania Lovshin,,Nepean SC,5,4,[7],6,6,5,6,,39,32,4th
CAN,8467,Jeff Boyd,,KYC,6,3,3,[10],10,7,7,,46,36,5th
CAN,8600,Marie Gendron,,Nepean SC,[11],7,5,7,4,10,3,Mystery,47,36,6th
CAN,8410,Shona Moss Lovshin,,KYC,[16 DNC],16 DNC,10,4,2,3,2,,53,37,7th
CAN,8587,Paul Place,,Nepean SC,3,5,[12],12,11,4,10,The Pink Panther Strikes Again,57,45,8th
CAN,8442,Thomas Adolph,,Nepean SC,9,[10],9,8,7,8,5,MWP,56,46,9th
CAN,9178,Rune Lausten,,NSC,7,6,2,1,[16 DNC],16 DNC,16 DNC,,64,48,10th
CAN,9138,Marek Baliński,,OHCC,8,8,11,9,9,9,[16 DNC],,70,54,11th
CAN,8735,Brent Beninger,,Nepean SC,10,[11],8,11,8,11,8,Spaghetti Factory,67,56,12th
CAN,8753,Conor Morrison,,OHCC,[13],12,13,13,12,12,9,---Road Trip---,84,71,13th
CAN,6910,Chris Edwards,,Nepean SC,[16 DNS],13,14,14,13,13,11,Toil & Trouble,94,78,14th
CAN,7773,Thomas Storer,,Nepean SC,12,[16 DNC],16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,Noxious Philodendron,108,92,15th
