Country,Sail Number,Skipper,Crew,Yacht Club,R1,R2,R3,R4,Total,Nett,Rank
CAN,8841,Ali Meller,Kyber Lovshin,KYC,1,3,1,1,6,6,1st
USA,8930,Duane Delfosse,Mike Hull,LSYC,4,2,3,2,11,11,2nd
USA,9005,Thomas Kivney,Gordon Russell,HYC,3,4,4,3,14,14,3rd
CAN,8821,Jeff Boyd,Martin ten Hove,KYC,5,5,2,6,18,18,4th
CAN,8696,Deb Ashby,Dave Adams,NSC,6,6,5,5,22,22,5th
CAN,8987,Peter Scannell,Ted Huebner,MBSC,2,1,21 RET,4,28,28,6th
CAN,8587,Paul Place,Alexander Tong,NSC,8,7,7,9,31,31,7th
USA,8850,Douglas Watson,Alex Taylor,OHCC,9,9,6,13,37,37,8th
CAN,9028,Malcolm MacGillivray,Devlin Lovshin,NSC/BYC,21 RET,11,9,7,48,48,9th
CAN,7606,Robert Bartlewski,Sabina Bartlewska,OHCC,10,8,21 RET,11,50,50,10th
CAN,920,Marie Gendron,David Browne,NSC,7,13,11,21 DNC,52,52,11th
CAN,8442,Thomas Adolph,Stephen Adolph,NSC,21 DNF,14,8,10,53,53,12th
CAN,7773,Thomas Storer,Nathaniel Storer,NSC,21 DNF,15,10,12,58,58,13th
CAN,8753,Conor Morrison,Drake Morrison,OHCC,21 DNF,17,14,8,60,60,14th
CAN,9138,Marek Balinski,Steve Lovshin,OHCC,21 RET,10,13,21 DNC,65,65,15th
CAN,8260,Joel Voyer,Siqi Zhang,NSC,21 RET,12,12,21 DNC,66,66,16th
CAN,138,Luke Strickland,Christian Voyer,NSC,11,16,21 RET,21 DNC,69,69,17th
CAN,7605,Luca Manning,Adam Gesing,KYC,21 RET,21 DNC,15,21 RET,78,78,18th
CAN,8951,Hannah Abush,Joshua Abush,OHCC,21 DNF,21 DNC,21 DNC,21 DNC,84,84,19th
CAN,9186,Shona Moss Lovshin,Evania Lovshin,NSC,21 DNF,21 DNC,21 DNC,21 DNC,84,84,19th
