Country,SailNo,HelmName,CrewName,Club,Race 1 06Sep,Race 2 06Sep,Race 3 06Sep,Race 4 06Sep,Race 5 06Sep,Race 6 07Sep,Race 7 07Sep,Race 8 07Sep,Race 9 07Sep,Boat,Total,Nett,Rank
CAN,8696,Deb Ashby,Dave Adams,NSC,4,1,1,[8],1,[11 DNC],4,1,1,Loose Unit,32,13,1st
USA,8841,Malcolm MacGillivray,"Alexander ""Ali"" Meller",BYC/KYC,3,[5],2,3,3,1,[7],3,2,Milky's Way,29,17,2nd
CAN,9186,Shona Moss Lovshin, ,NSC,2,4,3,[5],[5],2,2,2,5, ,30,20,3rd
CAN,8821,Luke Strickland,Christian Voyer,NSC,1,2,4,1,2,3,[11 DNF],[11 DNC],11 DNC,Mach 5,46,24,4th
CAN,8600,Marie Gendron,Kieran Whalen-Hughes,NSC,5,3,5,2,[6],5,6,[7],4,Mystery,43,30,5th
CAN,8442,Thomas Adolph,Stephen Adolph,NSC,6,6,[8],4,4,[11 DNC],3,5,6,Make Work Project,53,34,6th
CAN,7876,Kyber Lovshin,Chloé,NSC,[8],[7],7,7,7,6,5,6,3, ,56,41,7th
CAN,9178,Rune Lausten, ,NSC,7,[11 DNF],6,[11 DNC],11 DNC,4,1,11 DNC,11 DNC, ,73,51,8th
CAN,7776,Larry Strickland,Rob Voyer,NSC,[9],9,9,6,8,8,8,4,[11 DNC],Gowabunga,72,52,9th
CAN,9028,Gustave Deseau,Thomas Pingot,NSC,10,8,[11 DNC],[11 DNC],11 DNC,7,9,11 DNC,11 DNC, ,89,67,10th
