Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat Name,Points Total,Points Netto,Place
USA,9142,Pierre Jeangirard,Paul von Grey,PCYC,1,1,[2],1,1,1,1,1,1,Dance monkey,10,8,1
CAN,8866,Cynthia des Brisay,Charles Hansen,KYC,[3],2,3,2,2,2,2,2,3,NonSequitor,21,18,2
USA,8017,Mike Poulos,Jon Seestrom,Gonna Send It Yacht Club,2,[5],1,3,4,4,3,4,4,Fighting Lady,30,25,3
CAN,8763,Brian Trainor,Brendan Trainor,KYC,[4],3,4,4,3,3,4,3,2,Banshee,30,26,4
USA,8631,Thomas Crawford,,CBC,[5],4,5,5,5,5,5,5,5,FB incongnito,44,39,5
CAN,8263,Fred Grimm,,KYC,[DNC 7],DNC 7,DNC 7,DNC 7,DNC 7,DNC 7,DNC 7,DNC 7,DNC 7,Shark,63,56,6
