Platz,Steuermann,Vorschoter,Club,Boot,Platzierungen,Punkte
1,Christian Kellner,Klaus Stammerjohann,HSC,GER 8672,"2,6,1",110
2,Andreas John,Angela Stenger,KYC,GER 8751,"8,2,3","105,6"
3,Stefanie Wagner,Wolfgang Stückl,DTYC,GER 8633,"3,11,4","101,2"
4,Stefan Schollmayer,Francisco Sanguino,SCMSP,GER 8777,"9,9,2","96,8"
5,Markus Mühlbauer,Andreas Achterberg,DTYC,GER 8580,"1,14,6","92,4"
6,Alex Cross,Falko Braun,SCR,GER 8625,"10,1,12",88
7,Wolfgang Seifert,Christian Voggeser,SCLW,GER 8562,"4,3,16","83,6"
8,Thoralf Greger,Achim Funk,ASVG,GER 8642,"7,8,8","79,2"
9,Alexander von Mertens,Pia Wiesbauer,StSC,GER 8530,"5,13,7","74,8"
10,Alexander Holzapfel,Dirk Ipach,PSVK,GER 8609,"12,4,10","70,4"
11,Stephan Schweiger,Nathalie Friedrich,SCLW,GER 8621,"16,5,5",66
12,Robert Wisolek,Nette Jansen,SCLW,GER 8519,"6,20,11","61,6"
13,Oliver Kraft,Andreas Goggel,SSCM,GER 8473,"11,16,13","57,2"
14,Christina Höll,Alexander Wilhelm,HSC,GER 7661,"13,10,18","52,8"
15,Martin Handel,Karsten Contag,SGK,GER 8702,"17,12,18","48,4"
16,Heike Winchenbach,Christoph Klein,SKBUe,GER 8418,"14,15,15",44
17,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,GER 8654,"20,7,20","39,6"
18,Günther Böckle,Frank Heimburger,SSCM,GER 8691,"19,19,6","35,2"
19,Dirk Hänsgen,Frank Rupprich,SVPB,GER 8546,"15,17,17","30,8"
20,Benjamin Grosskurth,Susanne Grosskurth,SCLW,GER 7801,"18,18,21","26,4"
21,Thorsten Koch,Franziska Koch,SCLW,GER 8375,"23,21,19",22
22,Klaus Eifler,Michael Wetzl,SCLW,GER 8518,"22,22,22","17,6"
23,Christian Pittack,Anne Fitzpatrick,SCLW,GER 8210,"21,25,23","13,2"
24,Guido von Walter,Wiebke Waldheim,SCLW,GER 8204,"24,24,24","8,8"
25,Peter Wackerbauer,Claudia Opitz,RSB,GER 7310,"DNC,23,25","4,4"
